business_id,name,score,year,formatted_address,formatted_name
3120,CIOPPINO'S,91.0,2016.0,"400 Jefferson St, Hoboken, NJ 07030, USA",cioppino's
3120,CIOPPINO'S,87.0,2017.0,"400 Jefferson St, Hoboken, NJ 07030, USA",cioppino's
3121,LE CENTRAL BISTRO CORP,87.0,2016.0,"453 Bush St, San Francisco, CA 94108, USA",le
3121,LE CENTRAL BISTRO CORP,86.0,2018.0,"453 Bush St, San Francisco, CA 94108, USA",le
3122,TADICH GRILL,81.0,2017.0,"240 California St, San Francisco, CA 94111, USA",tadich
3122,TADICH GRILL,87.0,2017.0,"240 California St, San Francisco, CA 94111, USA",tadich
3122,TADICH GRILL,85.0,2016.0,"240 California St, San Francisco, CA 94111, USA",tadich
3122,TADICH GRILL,79.0,2018.0,"240 California St, San Francisco, CA 94111, USA",tadich
3129,FRANCISCA CLUB,100.0,2018.0,"595 Sutter St, San Francisco, CA 94102, USA",francisca
3129,FRANCISCA CLUB,100.0,2016.0,"595 Sutter St, San Francisco, CA 94102, USA",francisca
3133,BRANDY HO'S HUNAN FOOD,85.0,2017.0,"217 Columbus Ave, San Francisco, CA 94133, USA",brandy
3133,BRANDY HO'S HUNAN FOOD,85.0,2016.0,"217 Columbus Ave, San Francisco, CA 94133, USA",brandy
3134,LEE'S DELI,82.0,2016.0,"222 Front St, San Francisco, CA 94111, USA",lee's
3134,LEE'S DELI,85.0,2017.0,"222 Front St, San Francisco, CA 94111, USA",lee's
3151,NEW ASIA RESTAURANT,76.0,2017.0,"772 Pacific Ave, San Francisco, CA 94133, USA",new
3151,NEW ASIA RESTAURANT,62.0,2016.0,"772 Pacific Ave, San Francisco, CA 94133, USA",new
3155,THE ROYAL EXCHANGE RESTAURANT CO.,94.0,2017.0,"301 Sacramento St, San Francisco, CA 94111, USA",the
3155,THE ROYAL EXCHANGE RESTAURANT CO.,83.0,2016.0,"301 Sacramento St, San Francisco, CA 94111, USA",the
3161,PIER 2620 HOTEL FISHERMAN'S WHARF,87.0,2016.0,"2620 Jones St, San Francisco, CA 94133, USA",pier
3161,PIER 2620 HOTEL FISHERMAN'S WHARF,94.0,2017.0,"2620 Jones St, San Francisco, CA 94133, USA",pier
3161,PIER 2620 HOTEL FISHERMAN'S WHARF,87.0,2016.0,"2620 Jones St, San Francisco, CA 94133, USA",pier
3165,HAN IL KWAN,86.0,2015.0,"1802 Balboa St, San Francisco, CA 94121, USA",han
3165,HAN IL KWAN,79.0,2016.0,"1802 Balboa St, San Francisco, CA 94121, USA",han
3165,HAN IL KWAN,79.0,2017.0,"1802 Balboa St, San Francisco, CA 94121, USA",han
3165,HAN IL KWAN,77.0,2018.0,"1802 Balboa St, San Francisco, CA 94121, USA",han
3550,NOAH'S NEW YORK BAGELS #2113,81.0,2016.0,"100 Bush St, San Francisco, CA 94104, USA",noah's
3550,NOAH'S NEW YORK BAGELS #2113,68.0,2017.0,"100 Bush St, San Francisco, CA 94104, USA",noah's
3550,NOAH'S NEW YORK BAGELS #2113,90.0,2015.0,"100 Bush St, San Francisco, CA 94104, USA",noah's
3557,HERLEN PLACE,90.0,2018.0,"334 Grant Ave, San Francisco, CA 94108, USA",herlen
3561,LEE'S DELI,94.0,2018.0,"Russ Building, 235 Montgomery St, San Francisco, CA 94104, USA",lee's
3561,LEE'S DELI,100.0,2015.0,"Russ Building, 235 Montgomery St, San Francisco, CA 94104, USA",lee's
3561,LEE'S DELI,67.0,2017.0,"Russ Building, 235 Montgomery St, San Francisco, CA 94104, USA",lee's
91483,JOE & THE JUICE,96.0,2018.0,"Russ Building, 235 Montgomery St, San Francisco, CA 94104, USA",joe
91483,JOE & THE JUICE,92.0,2017.0,"Russ Building, 235 Montgomery St, San Francisco, CA 94104, USA",joe
3562,MIXED GREENS PREP KITCHEN,92.0,2016.0,"170 O'Farrell St 8TH FLOOR, San Francisco, CA 94102, USA",mixed
3562,MIXED GREENS PREP KITCHEN,90.0,2018.0,"170 O'Farrell St 8TH FLOOR, San Francisco, CA 94102, USA",mixed
3562,MIXED GREENS PREP KITCHEN,87.0,2015.0,"170 O'Farrell St 8TH FLOOR, San Francisco, CA 94102, USA",mixed
3566,MANDALAY RESTAURANT,80.0,2016.0,"4348 California St, San Francisco, CA 94118, USA",mandalay
3566,MANDALAY RESTAURANT,89.0,2018.0,"4348 California St, San Francisco, CA 94118, USA",mandalay
3571,CITY CLUB,94.0,2015.0,"155 Sansome St 10TH FLOOR, San Francisco, CA 94104, USA",city
3571,CITY CLUB,78.0,2016.0,"155 Sansome St 10TH FLOOR, San Francisco, CA 94104, USA",city
3571,CITY CLUB,74.0,2017.0,"155 Sansome St 10TH FLOOR, San Francisco, CA 94104, USA",city
3578,NEIMAN MARCUS - ROTUNDA,96.0,2017.0,"150 Stockton St, San Francisco, CA 94108, USA",neiman
3578,NEIMAN MARCUS - ROTUNDA,98.0,2018.0,"150 Stockton St, San Francisco, CA 94108, USA",neiman
3586,THE PIG & WHISTLE,87.0,2017.0,"2801 Geary Blvd, San Francisco, CA 94118, USA",the
3586,THE PIG & WHISTLE,92.0,2015.0,"2801 Geary Blvd, San Francisco, CA 94118, USA",the
3587,SUPERIOR PALACE SEAFOOD REST.,83.0,2018.0,"3546 Balboa St, San Francisco, CA 94121, USA",superior
3587,SUPERIOR PALACE SEAFOOD REST.,68.0,2016.0,"3546 Balboa St, San Francisco, CA 94121, USA",superior
3587,SUPERIOR PALACE SEAFOOD REST.,69.0,2015.0,"3546 Balboa St, San Francisco, CA 94121, USA",superior
3591,TON KIANG RESTAURANT #2,92.0,2015.0,"5821 Geary Blvd, San Francisco, CA 94121, USA",ton
3591,TON KIANG RESTAURANT #2,79.0,2018.0,"5821 Geary Blvd, San Francisco, CA 94121, USA",ton
3591,TON KIANG RESTAURANT #2,90.0,2016.0,"5821 Geary Blvd, San Francisco, CA 94121, USA",ton
3594,CELIAS RESTAURANT,88.0,2016.0,"4019 Judah St, San Francisco, CA 94122, USA",celias
3594,CELIAS RESTAURANT,90.0,2018.0,"4019 Judah St, San Francisco, CA 94122, USA",celias
3595,SAFEWAY #785,92.0,2018.0,"850 La Playa St, San Francisco, CA 94121, USA",safeway
3595,SAFEWAY #785,92.0,2015.0,"850 La Playa St, San Francisco, CA 94121, USA",safeway
3595,SAFEWAY #785,96.0,2017.0,"850 La Playa St, San Francisco, CA 94121, USA",safeway
3611,ABSINTHE BRASSERIE & BAR,86.0,2017.0,"398 Hayes St, San Francisco, CA 94102, USA",absinthe
3611,ABSINTHE BRASSERIE & BAR,94.0,2018.0,"398 Hayes St, San Francisco, CA 94102, USA",absinthe
3611,ABSINTHE BRASSERIE & BAR,90.0,2016.0,"398 Hayes St, San Francisco, CA 94102, USA",absinthe
3613,IL PIRATA,68.0,2017.0,"2007 16th St, Lubbock, TX 79401, USA",il
3613,IL PIRATA,92.0,2018.0,"2007 16th St, Lubbock, TX 79401, USA",il
3614,"TAQUERIA ""LOS COYOTES"" #2",84.0,2016.0,"3036 16th St, San Francisco, CA 94103, USA",taqueria
