business_name,category,lic_code,street_address,State,City,zipcode,business_start_date,business_end_date,neighborhoods,business_location,supervisor_district,Lifespan,closed,age_if_opened
The Sausage Factory,Food Services,,517 Castro St,CA,San Francisco,94114.0,01/11/2018,,Castro/Upper Market,,8.0,,no,202.0
Pizzeria Avellino,Food Services,,131 Crown Circle,CA,South+sanfrancisco,94080.0,01/11/2018,,,,,,no,202.0
Mr. Bread,Food Services,"Restaurant Less Than 1,000 Sqft",1018 Taraval St,CA,San Francisco,94116.0,01/02/2018,,,,,,no,211.0
Bernal Bears,Food Services,,4104 24th St 572,CA,San Francisco,94114.0,01/10/2018,,,,,,no,203.0
Fresh Made Cafe,Food Services,Mobile Food Facility 3,901 Mission St,CA,San Francisco,94103.0,01/12/2018,,,,,,no,201.0
Love Patisserie & More,Food Services,,5900 3rd St,CA,San Francisco,94124.0,01/12/2018,,Bayview Hunters Point,,10.0,,no,201.0
Baby's Eatery And Palabok,Food Services,,4609 Mission Street,CA,San Francisco,94112.0,01/08/2018,,Excelsior,,11.0,,no,205.0
Coz Corporation Dba,Food Services,,500 Howard St Fl 8th,CA,San Francisco,94105.0,01/03/2000,,Financial District/South Beach,,6.0,,no,6785.0
Sushi Shoh,Food Services,,406 Dewey Blvd,CA,San Francisco,94116.0,04/26/2018,,,,,,no,97.0
Gawaram Llc,Food Services,,1574 9th Ave,CA,San Francisco,94122.0,05/31/2018,,Inner Sunset,,7.0,,no,62.0
Pdrsf,Food Services,,975 Burnett Ave Apt 15,CA,San Francisco,94131.0,05/25/2018,,Twin Peaks,,8.0,,no,68.0
Private Dining Room,Food Services,,975 Burnett Ave Apt 15,CA,San Francisco,94131.0,05/25/2018,,Twin Peaks,,8.0,,no,68.0
Gochees Pizza,Food Services,,2 Embarcadero Ctr Unit B6,CA,San+francisco,94111.0,06/01/2018,,,,,,no,61.0
Barbary Coast Taproom,Food Services,,515 Broadway,CA,San Francisco,94133.0,12/26/1991,,North Beach,,3.0,,no,9715.0
Delvin Garcia Construction,Food Services,,2881 13th St,CA,San Pablo,94806.0,06/01/2018,,,,,,no,61.0
Sade,Food Services,,3145 Fillmore St,CA,San Francisco,94123.0,06/01/2018,,,,,,no,61.0
Peaches Patties Llc,Food Services,,2948 Folsom St,CA,San Francisco,94110.0,06/01/2018,,,,,,no,61.0
