business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month,MA,formatted_name,formatted_address
86404,FRESH & NATURAL CAFE,2425 GEARY BLVD ,San Francisco,CA,94115,,,14158332719,96.0,2018-05-21,routine,2018.0,5.0,94.5,FRESH &,2425 GEARY
68278,FRESH BAY CAFE,3659 BUCHANAN ST ,San Francisco,CA,94123,37.803627,-122.433503,14159288868,87.0,2018-01-31,routine,2018.0,1.0,86.5,FRESH BAY,3659 BUCHANAN
77546,FRESH BREW COFFEE,882 BUSH ST ,San Francisco,CA,94108,,,14155670915,96.0,2017-04-24,routine,2017.0,4.0,95.0,FRESH BREW,882 BUSH
86386,FRESH MEAT SEAFOOD MARKET,2704 MISSION ST ,San Francisco,CA,94110,,,14155508044,91.0,2018-04-30,routine,2018.0,4.0,91.5,FRESH MEAT,2704 MISSION
14883,FRIENDSHIP HOUSE HEALING,56 JULIAN,San Francisco,CA,,37.767312,-122.421173,,100.0,2018-03-14,routine,2018.0,3.0,100.0,FRIENDSHIP HOUSE,56 JULIAN
39403,FRISCO FRIED,5176 03RD ST ,San Francisco,CA,94124,37.73089,-122.392227,14155195955,90.0,2017-12-13,routine,2017.0,12.0,88.0,FRISCO FRIED,5176 03RD
94953,FRITZ MISSION,3412 17TH ST ,San Francisco,CA,94110,,,14158638272,90.0,2018-04-25,routine,2018.0,4.0,90.0,FRITZ MISSION,3412 17TH
8249,FROG HOLLOW FARM MARKET,1 FERRY BUILDING E-13,San Francisco,CA,94111,37.795225,-122.39376999999999,14154450180,98.0,2017-11-06,routine,2017.0,11.0,96.0,FROG HOLLOW,1 FERRY
91340,FRONT DOOR CAFE,1 FRONT ST ,San Francisco,CA,94111,,,14159846470,83.0,2017-08-30,routine,2017.0,8.0,83.0,FRONT DOOR,1 FRONT
69627,FROZEN KUHSTERD,428 11TH ST ,San Francisco,CA,94103,,,,96.0,2018-01-27,routine,2018.0,1.0,96.0,FROZEN KUHSTERD,428 11TH
88983,FUELING STATION,2436 POLK ST ,San Francisco,CA,94109,,,,100.0,2018-05-01,routine,2018.0,5.0,98.0,FUELING STATION,2436 POLK
83570,FUJI RESTAURANT,301 WEST PORTAL AVE ,San Francisco,CA,94127,,,14155646360,63.0,2018-05-10,routine,2018.0,5.0,65.0,FUJI RESTAURANT,301 WEST
91571,FULLSKOOP INC.,1 BUSH ST ,San Francisco,CA,94104,,,14159940033,90.0,2017-10-18,routine,2017.0,10.0,90.0,FULLSKOOP INC.,1 BUSH
91577,FULLSKOOP INC.,1 BUSH ST ,San Francisco,CA,94104,,,14152937800,87.0,2017-10-18,routine,2017.0,10.0,88.5,FULLSKOOP INC.,1 BUSH
81302,FUMI CURRY,3303 MISSION ST ,San Francisco,CA,94110,,,14156081611,76.0,2017-10-31,routine,2017.0,10.0,77.5,FUMI CURRY,3303 MISSION
5744,FUN FOOD PARTNERS - AUNT FANNY'S,PIER 39 WEST PARK,San Francisco,CA,94133,37.668824,-122.409411,14159860706,100.0,2018-05-25,routine,2018.0,5.0,100.0,FUN FOOD,PIER 39
65371,FUZIO UNIVERSAL BISTRO,1 EMBARCADERO CENTER,San Francisco,CA,94111,37.794588,-122.39964199999999,14153927995,85.0,2017-08-24,routine,2017.0,8.0,87.0,FUZIO UNIVERSAL,1 EMBARCADERO
81453,G & H LIQUORS & GROCERY,201 JONES ST ,San Francisco,CA,94102,,,14157769285,93.0,2018-07-17,routine,2018.0,7.0,95.5,G &,201 JONES
2785,G & L RESTAURANT,198 LELAND AVE ,San Francisco,CA,94134,37.712517,-122.407152,14152396283,72.0,2018-04-18,routine,2018.0,4.0,75.5,G &,198 LELAND
63079,"G. L. ALFIERI, LLC",1 FERRY BUILDING  ,San Francisco,CA,94111,37.795225,-122.39376999999999,14155313448,100.0,2017-07-07,routine,2017.0,7.0,100.0,G. L.,1 FERRY
34411,GABBY'S MARKET & DELI,201 HARRISON ST C,San Francisco,CA,94105,37.787808,-122.390703,14157773354,98.0,2018-01-16,routine,2018.0,1.0,97.0,GABBY'S MARKET,201 HARRISON
90433,GAGA'S ROLLIN DINER, OFF THE GRID  ,San Francisco,CA,,,,14156553116,94.0,2017-04-29,routine,2017.0,4.0,94.0,GAGA'S ROLLIN,OFF THE
