accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"1630 Stockton St, San Francisco, CA 94133, USA",ChIJ2RWMEPGAhYARXe0nDBmNCrM,1630 STOCKTON ST ,37.8008786,-122.4089861,4,94133,OK,premise
ROOFTOP,"601 Vallejo St, San Francisco, CA 94133, USA",ChIJ-9419POAhYARjhWVyjMEfYg,601 VALLEJO ST ,37.7986407,-122.4073436,2,94133,OK,street_address
ROOFTOP,"570 Powell St, San Francisco, CA 94108, USA",ChIJGScnIoyAhYARfb5_ThvLzjE,570 POWELL ST,37.7900857,-122.4086704,1,94108,OK,street_address
ROOFTOP,"5301 Mission St, San Francisco, CA 94112, USA",ChIJs6_UQpx-j4AR-nw8TgfNgvs,5301 MISSION ST ,37.7142881,-122.4426101,1,94112,OK,premise
ROOFTOP,"2906 Diamond St, Philadelphia, PA 19121, USA",ChIJw5rInpPHxokRA13435ilULU,2906 DIAMOND ST ,39.987678,-75.181125,2,19121,OK,street_address
RANGE_INTERPOLATED,"1365 Noriega St, San Francisco, CA 94122, USA",Ei0xMzY1IE5vcmllZ2EgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTIyLCBVU0EiGxIZChQKEgmr86WBYoeFgBHqT57q-By27xDVCg,1365 NORIEGA ST ,37.7539776,-122.4783324,1,94122,OK,street_address
ROOFTOP,"2401 Noriega St, San Francisco, CA 94122, USA",ChIJxXenBH-HhYARgLBsuNCAjpY,2401 NORIEGA ST ,37.7534296,-122.4894567,1,94122,OK,street_address
ROOFTOP,"2 New Montgomery St, San Francisco, CA 94105, USA",ChIJfxR3GYiAhYAR24wUfmxepPU,2 NEW MONTGOMERY ST ,37.7884503,-122.4020449,1,94105,OK,street_address
ROOFTOP,"1235 9th Ave, San Francisco, CA 94122, USA",ChIJRXQM4FyHhYAR-OPWGP4JD9Y,1235 09TH AVE ,37.7652564,-122.4667684,1,94122,OK,"establishment,food,health,point_of_interest,restaurant,store"
ROOFTOP,"3251 20th Ave, San Francisco, CA 94132, USA",ChIJP5NLubt9j4AR9_zxLgJGWTg,3251 20TH AVE ,37.7280817,-122.4770808,1,94132,OK,street_address
RANGE_INTERPOLATED,"450 Balboa St, San Francisco, CA 94118, USA",Eis0NTAgQmFsYm9hIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDExOCwgVVNBIhsSGQoUChIJuTSQU0eHhYAROq7DVSdn8U4QwgM,0450 BALBOA ST ,37.7774133,-122.4637871,1,94118,OK,street_address
ROOFTOP,"3840 Geary Blvd, San Francisco, CA 94118, USA",ChIJP7CHqDmHhYARaY40ik9EFlQ,3840 GEARY BLVD ,37.7814016,-122.4606919,1,94118,OK,street_address
ROOFTOP,"2225 Irving St, San Francisco, CA 94122, USA",ChIJSdu9E3CHhYARjVSf095IF-s,2225 IRVING ST ,37.7632182,-122.4818638,2,94122,OK,street_address
ROOFTOP,"2278 Mission St, San Francisco, CA 94110, USA",ChIJBd_RjTx-j4ARb3Gi5gYpM0c,2278 MISSION ST ,37.7606328,-122.4195958,1,94110,OK,street_address
ROOFTOP,"800 Clement St, San Francisco, CA 94118, USA",ChIJmydYoj2HhYAR0I8Wm-6C8Q8,800 CLEMENT ST ,37.7829633,-122.4678211,2,94118,OK,street_address
,,,315 08TH AVE ,,,0,,ZERO_RESULTS,
ROOFTOP,"3600 Balboa St, San Francisco, CA 94121, USA",ChIJY5ZQCKaHhYARnH6Ws3UdCoA,3600 BALBOA ST ,37.7759059,-122.4975133,1,94121,OK,premise
ROOFTOP,"2252 Clement St, San Francisco, CA 94121, USA",ChIJd_f3oAWHhYARDqfdoyf91ww,2252 CLEMENT ST ,37.7822476,-122.4836513,1,94121,OK,street_address
ROOFTOP,"2228 Irving St, San Francisco, CA 94122, USA",ChIJMzlnFXCHhYARwh7xE59TKAI,2228 IRVING ST ,37.7635104,-122.4820823,1,94122,OK,premise
,,,600 05TH AVE ,,,0,,ZERO_RESULTS,
ROOFTOP,"1815 Market St, San Francisco, CA 94103, USA",ChIJtSJx95-AhYARW8PK5yLPr00,1815 MARKET ST ,37.7712546,-122.4237757,1,94103,OK,street_address
ROOFTOP,"123 2nd St, San Francisco, CA 94105, USA",ChIJrQ9dLX2AhYARiolh2hTx1Ig,123 02ND ST ,37.7877699,-122.3992314,1,94105,OK,"establishment,food,point_of_interest,restaurant"
ROOFTOP,"737 Cortland Ave, San Francisco, CA 94110, USA",ChIJfwQ3mFl-j4ARkJovTrxeGUE,737 CORTLAND AVE ,37.7390756,-122.4149402,1,94110,OK,street_address
ROOFTOP,"811 Ulloa St, San Francisco, CA 94127, USA",ChIJ_54yROp9j4ARqsOfOTzyZnU,811 ULLOA ST ,37.7405918,-122.4654474,1,94127,OK,street_address
ROOFTOP,"1601 Taraval, San Francisco, CA 94116, USA",ChIJq_x21pp9j4ARgr-hpjdWZPg,1601 TARAVAL ST ,37.7425713,-122.4833314,1,94116,OK,premise
ROOFTOP,"1325 Noriega St, San Francisco, CA 94122, USA",ChIJk0tXKoh9j4ARgAJV4qT2Ck4,1325 NORIEGA ST ,37.7540528,-122.4780642,1,94122,OK,street_address
ROOFTOP,"94 Judah St, San Francisco, CA 94122, USA",ChIJdYbNQFmHhYARpdrq97Mfcxc,94 JUDAH ST ,37.7624697,-122.4626799,1,94122,OK,street_address
ROOFTOP,"3107 Clement St, San Francisco, CA 94121, USA",ChIJYWuQ3KmHhYARJOqQFziQgZc,3107 CLEMENT ST ,37.7814745,-122.4926057,1,94121,OK,premise
ROOFTOP,"92 Judah St, San Francisco, CA 94122, USA",ChIJSz4lR1mHhYARW2uosAJBnpA,92 JUDAH ST ,37.7624631,-122.4626151,1,94122,OK,street_address
ROOFTOP,"5712 Mission St, San Francisco, CA 94112, USA",ChIJMZbiKyF8j4ARM_T5X_pQuVc,5712 MISSION ST ,37.7099899,-122.4498312,1,94112,OK,premise
ROOFTOP,"1727 Ocean Ave, Brooklyn, NY 11210, USA",ChIJq3TXdLlEwokR4F1LAlpyEj4,1727 OCEAN AVE ,40.6199059,-73.9550455,1,11210,OK,street_address
ROOFTOP,"1770 Scott St, San Francisco, CA 94115, USA",ChIJgx9AMciAhYARMn-T9zt6vRI,1770 SCOTT ST ,37.7863063,-122.4380316,2,94115,OK,premise
ROOFTOP,"800 Divisadero St, San Francisco, CA 94117, USA",ChIJo3yPNbCAhYARyVT03r6eqkc,800 DIVISADERO ST ,37.7770922,-122.437921,2,94117,OK,street_address
ROOFTOP,"1812 Divisadero St, San Francisco, CA 94115, USA",ChIJEVjnlsmAhYARflxORGQgNt0,1812 DIVISADERO ST ,37.7864695,-122.4399115,2,94115,OK,street_address
ROOFTOP,"1500 Fillmore St, San Francisco, CA 94115, USA",ChIJnYczdbmAhYARMHXfrGuw6Mw,1500 FILLMORE ST ,37.7835633,-122.4324574,3,94115,OK,street_address
ROOFTOP,"1517 Polk St, San Francisco, CA 94109, USA",ChIJfc_1K-uAhYAR9ojuOkcnjbk,1517 POLK ST ,37.7908308,-122.420964,1,94109,OK,street_address
ROOFTOP,"1737 Post St Suite 304, San Francisco, CA 94115, USA",ChIJo0XH17iAhYARQwm9vESn_xc,1737 POST ST 304,37.7850766,-122.4309077,1,94115,OK,"bakery,cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store"
ROOFTOP,"1825 Post St, San Francisco, CA 94115, USA",ChIJKYWs4riAhYARiFALYy0p_PU,1825 POST ST #223,37.7849417,-122.4320571,1,94115,OK,street_address
ROOFTOP,"3166 Buchanan St, San Francisco, CA 94123, USA",ChIJV7igq9uAhYARPlf2M7_AALM,3166 BUCHANAN ST ,37.7993037,-122.4322957,1,94123,OK,street_address
ROOFTOP,"1418 Lombard St, San Francisco, CA 94123, USA",ChIJPZGZnd2AhYARFVRAnvd76Qc,1418 LOMBARD ST ,37.8014237,-122.4250826,2,94123,OK,street_address
ROOFTOP,"2299 Union St, San Francisco, CA 94123, USA",ChIJqZUjQtCAhYARVfFTDC0QPzA,2299 UNION ST ,37.796804,-122.4369878,1,94123,OK,street_address
ROOFTOP,"55 Cyril Magnin St, San Francisco, CA 94102, USA",ChIJ9WOKYo-AhYARqVPshHzc4Ho,55 CYRIL MAGNIN ST ,37.7849258,-122.4089419,1,94102,OK,premise
ROOFTOP,"717 Ellis St, San Francisco, CA 94109, USA",ChIJL8_705CAhYARnZegqwnJZs4,717 ELLIS ST ,37.7840626,-122.4180949,1,94109,OK,street_address
ROOFTOP,"248 Hyde St, San Francisco, CA 94102, USA",ChIJR9euh5CAhYARcpQKMfqv7r4,248 HYDE ST,37.7833118,-122.415688,1,94102,OK,street_address
ROOFTOP,"2786 California St, San Francisco, CA 94115, USA",ChIJzVeBQsmAhYARN9WK3fyfe6w,2786 CALIFORNIA ST ,37.788331,-122.4402103,1,94115,OK,street_address
RANGE_INTERPOLATED,"69 W Portal Ave, San Francisco, CA 94127, USA",Ei02OSBXIFBvcnRhbCBBdmUsIFNhbiBGcmFuY2lzY28sIENBIDk0MTI3LCBVU0EiGhIYChQKEgkRO1lY6n2PgBEPcr22GnKlzhBF,069 WEST PORTAL AVE ,37.7399489,-122.4663584,1,94127,OK,street_address
ROOFTOP,"865 Market St C45, San Francisco, CA 94103, USA",EjBDNDUsIDg2NSBNYXJrZXQgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTAzLCBVU0EiHxodChYKFAoSCa2cSN-FgIWAEXMkkjF6EnBTEgNDNDU,865 MARKET ST C45,37.7840659,-122.4065571,1,94103,OK,subpremise
ROOFTOP,"88 4th St, Bangor, ME 04401, USA",ChIJwRg330NLrkwRhmQys9RaTKo,88 4TH ST.,44.7989816,-68.7794232,1,4401,OK,street_address
ROOFTOP,"2092 3rd St, San Francisco, CA 94107, USA",ChIJ7zW87sd_j4ARX2ItSywbTo8,2092 03RD ST ,37.7631659,-122.3889828,1,94107,OK,"bar,establishment,food,point_of_interest,restaurant"
ROOFTOP,"405 Terry A Francois Blvd, San Francisco, CA 94158, USA",ChIJ362mLNt_j4ARAlUKVBR8zZA,405 TERRY FRANCOIS BLVD ,37.7726112,-122.3869256,1,94158,OK,premise
RANGE_INTERPOLATED,"429 Terry A Francois Blvd, San Francisco, CA 94158, USA",Ejc0MjkgVGVycnkgQSBGcmFuY29pcyBCbHZkLCBTYW4gRnJhbmNpc2NvLCBDQSA5NDE1OCwgVVNBIhsSGQoUChIJS-rRNtp_j4ARWZr43TM9y9sQrQM,429 TERRY FRANCOIS ST,37.7760911,-122.3871869,1,94158,OK,street_address
ROOFTOP,"136 Missouri Ave, Steamboat Springs, CO 80487, USA",ChIJ4x0sys9oQocRcKx2z0LjFtM,136 MISSOURI ST ,40.4898215,-106.8270099,1,80487,OK,premise
ROOFTOP,"1015 Battery St, San Francisco, CA 94111, USA",ChIJbdbN8PWAhYARfmFtpxOAF10,1015 BATTERY ST ,37.800641,-122.401795,1,94111,OK,street_address
GEOMETRIC_CENTER,"Beach St & The Embarcadero, San Francisco, CA 94133, United States",ChIJHSGzi_yAhYARnrPmDWAx9ro,PIER 39  FRONT,37.808673,-122.409821,1,94133,OK,"establishment,point_of_interest,premise,shopping_mall"
ROOFTOP,"Pier 41, San Francisco, CA 94133, USA",ChIJYdsWwPyAhYARK5mPEGBHOIA,PIER 41,37.809167,-122.411389,1,94133,OK,premise
ROOFTOP,"1400 Leavenworth St, San Francisco, CA 94109, USA",ChIJf_Sy-eyAhYARdY-Fw4Nsnvk,1400 LEAVENWORTH ST ,37.79406,-122.4161542,2,94109,OK,premise
ROOFTOP,"580 Beach St, San Francisco, CA 94133, USA",ChIJa0RuYeGAhYAR8GyHqN3X8xA,580 BEACH ST ,37.8071422,-122.4184334,2,94133,OK,street_address
