accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"1058 Gaddis Ct, Santa Rosa, CA 95404, USA",ChIJ62NuavBHhIARMuWCxWGA4wo,1058 Gaddis Ctr,38.4510337,-122.7084974,1,95404,OK,premise
ROOFTOP,"10 Fishermans Wharf, San Francisco, CA 94133, USA",ChIJnY2QGR6BhYARLtvSOLF35Mw,10 Fishermans Wharf,37.8107836,-122.4188203,1,94133,OK,"establishment,food,point_of_interest"
ROOFTOP,"5203 Geary Blvd, San Francisco, CA 94118, USA",ChIJ5WyOMxGHhYARBcKYo-lC6M0,5203 Geary Blvd,37.7802701,-122.4752724,1,94118,OK,premise
ROOFTOP,"1954 48th Ave, San Francisco, CA 94116, USA",ChIJ9WXxzI6HhYARLSojC0SM3WA,1954 48th Ave,37.749988,-122.5071399,2,94116,OK,premise
ROOFTOP,"1525 Bancroft Ave, Montgomery, AL 36116, USA",ChIJ3z2orWmAjogRYG_d6IcaVks,1525 Bancroft Ave,32.3208785,-86.2829658,4,36116,OK,premise
RANGE_INTERPOLATED,"2847 Taylor St, San Francisco, CA 94133, USA",EiwyODQ3IFRheWxvciBTdCwgU2FuIEZyYW5jaXNjbywgQ0EgOTQxMzMsIFVTQSIbEhkKFAoSCUXVbKvjgIWAET6HhcGQG4PiEJ8W,2847 Taylor St Bldg,37.8089738,-122.4158486,1,94133,OK,street_address
ROOFTOP,"833 Oxford Ave, Marina Del Rey, CA 90292, USA",ChIJfaxy5I-6woARSu-5B-eD0kY,833 Oxford St,33.9862072,-118.4509577,1,90292,OK,premise
GEOMETRIC_CENTER,"San Francisco International Airport (SFO), San Francisco, CA 94128, USA",ChIJVVVVVYx3j4ARP-3NGldc8qQ,Space B.2.235 San Francisco Airport,37.6213129,-122.3789554,1,94128,OK,"airport,establishment,point_of_interest"
ROOFTOP,"218 Jersey St, San Francisco, CA 94114, USA",ChIJ8X1lXhN-j4ARDdI-_gSHS5I,218 Jersey St,37.7508534,-122.4300371,2,94114,OK,street_address
ROOFTOP,"435 Brannan St, San Francisco, CA 94107, USA",ChIJ90OdENZ_j4ARyEuCY0aFwj4,435 Brannan Street,37.779027,-122.3948255,1,94107,OK,premise
ROOFTOP,"3300 Cesar Chavez, San Francisco, CA 94110, USA",ChIJP_BhNkR-j4ARRG4Nx8PbNKA,1760 Cesar Chaves St L,37.7485398,-122.4161921,2,94110,OK,"car_repair,establishment,point_of_interest"
ROOFTOP,"3251 20th Ave #5523, San Francisco, CA 94132, USA",EjE1NTIzLCAzMjUxIDIwdGggQXZlLCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEzMiwgVVNBIiAaHgoWChQKEgk_k0u5u32PgBH3_PEuAkZZOBIENTUyMw,3251 20th Ave Ste 5523,37.7280817,-122.4770808,1,94132,OK,subpremise
