business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month
72024,TACOBAR,2401 CALIFORNIA ST ,San Francisco,CA,94115,,,14156747745,96.0,2016-07-29,routine,2016.0,7.0
72024,TACOBAR,2401 CALIFORNIA ST ,San Francisco,CA,94115,,,14156747745,90.0,2017-05-08,routine,2017.0,5.0
66685,TACOLICIOUS,741 VALENCIA ST ,San Francisco,CA,94110,37.760974,-122.421456,14154207869,85.0,2016-02-22,routine,2016.0,2.0
74866,TACOLICIOUS,1548 STOCKTON ST ,San Francisco,CA,94133,,,14154331800,94.0,2016-06-13,routine,2016.0,6.0
88139,TACOLICIOUS,2250 CHESTNUT ST ,San Francisco,CA,Ca,,,14156496077,83.0,2016-11-21,routine,2016.0,11.0
66685,TACOLICIOUS,741 VALENCIA ST ,San Francisco,CA,94110,37.760974,-122.421456,14154207869,90.0,2016-12-05,routine,2016.0,12.0
74866,TACOLICIOUS,1548 STOCKTON ST ,San Francisco,CA,94133,,,14154331800,83.0,2017-05-08,routine,2017.0,5.0
66685,TACOLICIOUS,741 VALENCIA ST ,San Francisco,CA,94110,37.760974,-122.421456,14154207869,90.0,2017-11-13,routine,2017.0,11.0
88139,TACOLICIOUS,2250 CHESTNUT ST ,San Francisco,CA,Ca,,,14156496077,88.0,2018-01-09,routine,2018.0,1.0
66685,TACOLICIOUS,741 VALENCIA ST ,San Francisco,CA,94110,37.760974,-122.421456,14154207869,87.0,2018-07-18,routine,2018.0,7.0
88539,TACOREA,809 BUSH ST ,San Francisco,CA,94108,,,,90.0,2016-12-15,routine,2016.0,12.0
88539,TACOREA,809 BUSH ST ,San Francisco,CA,94108,,,,100.0,2018-01-26,routine,2018.0,1.0
82218,TACORGASMICO,2337 MARKET ST ,San Francisco,CA,94114,,,14158607571,100.0,2015-08-28,routine,2015.0,8.0
82218,TACORGASMICO,2337 MARKET ST ,San Francisco,CA,94114,,,14158607571,88.0,2017-10-20,routine,2017.0,10.0
