,formatted_address,input_string,latitude,longitude,name,number_of_results,price_level,rating,status
138,,starbucks coffee #5395,,,,0,,,REQUEST_DENIED
139,,starbucks coffee #5516,,,,0,,,REQUEST_DENIED
140,,starbucks coffee #5517,,,,0,,,REQUEST_DENIED
141,,starbucks coffee #5584,,,,0,,,REQUEST_DENIED
142,,starbucks coffee #5646,,,,0,,,REQUEST_DENIED
143,,starbucks coffee #5625,,,,0,,,REQUEST_DENIED
144,"1198 Folsom St, San Francisco, CA 94103, USA",el capitan,37.7752421,-122.4101313,El Capitan Taqueria,2,,3.8,OK
145,,starbucks coffee #9215,,,,0,,,REQUEST_DENIED
146,,starbucks coffee #9216,,,,0,,,REQUEST_DENIED
147,,starbucks coffee #9213,,,,0,,,REQUEST_DENIED
148,,starbucks coffee #9212,,,,0,,,REQUEST_DENIED
149,,starbucks coffee #9211,,,,0,,,REQUEST_DENIED
150,,starbucks coffee #5852,,,,0,,,REQUEST_DENIED
151,,starbucks coffee #6765,,,,0,,,REQUEST_DENIED
152,,starbucks coffee #6937,,,,0,,,REQUEST_DENIED
153,"77 Battery St, San Francisco, CA 94111, USA",77 chinese and vietnamese cuisine,37.791951,-122.399991,77 Chinese & Vietnamese Cuisine,1,1.0,3.8,OK
154,"1516 Folsom St, San Francisco, CA 94103, USA",eat sushi,37.7718566,-122.4145835,EAT SUSHI,1,,5.0,OK
155,,starbucks coffee #6867,,,,0,,,REQUEST_DENIED
156,,starbucks coffee #2997,,,,0,,,REQUEST_DENIED
157,,starbucks coffee #6677,,,,0,,,REQUEST_DENIED
158,,starbucks coffee #10892,,,,0,,,REQUEST_DENIED
159,"448 Balboa St, San Francisco, CA 94118, USA",grinders pizzeria,37.7774587,-122.4637229,Grinders Chicago Pizzeria,1,1.0,4.3,OK
160,"4794 Mission St, San Francisco, CA 94112, USA",cafe guatemalteco,37.7213927,-122.4375256,Yo Soy Cafe Guatemalteco,1,1.0,4.7,OK
161,"372 Ritch St, San Francisco, CA 94107, USA",cento coffee,37.7787767,-122.3939093,Cento,1,,4.6,OK
162,"423 Columbus Ave, San Francisco, CA 94133, USA",caffe greco llc,37.7989837,-122.4085244,Caffe Greco,1,1.0,4.4,OK
163,"2346, 667 Monterey Blvd, San Francisco, CA 94127, United States",pho dong houng1,37.731286,-122.450411,Pho Dong Huong,1,1.0,4.2,OK
164,"550 15th St, San Francisco, CA 94110, USA",casa mayah restaurant,37.767273,-122.4064356,Mayah’s Restaurant Cafe,1,,4.3,OK
165,"752 Jackson St, San Francisco, CA 94133, USA",delicious dimsum,37.7960235,-122.4075772,Delicious Dim Sum,1,1.0,4.5,OK
166,"420 Judah St, San Francisco, CA 94122, USA",alice chinese bistro,37.762386,-122.4665591,Jackychen China Bistro,1,,0.0,OK
167,"533 Jackson St, San Francisco, CA 94133, USA",raavi eatery,37.7961102,-122.4045833,Raavi North Indian Cuisine,2,1.0,4.2,OK
168,"601 Broadway, San Francisco, CA 94133, USA",t  t cafe,37.7976805,-122.4071123,T&T Cafe,1,,4.2,OK
169,"1925 Francisco Blvd E # 5, San Rafael, CA 94901, USA",the fruit tree,37.9466154,-122.489676,Fruit Tree Planting Foundation,1,,0.0,OK
170,"205 Hugo St, San Francisco, CA 94122, USA",yo tambien cantina,37.76517560000001,-122.4602591,Yo También Cantina,1,,4.8,OK
171,"3385 Mission St, San Francisco, CA 94110, USA",oye managua,37.74234440000001,-122.4217093,Oye Managua,1,2.0,4.2,OK
172,"1550 Bryant St #200, San Francisco, CA 94103, USA",asana inc,37.767612,-122.410971,Asana,1,,4.4,OK
