Analysis Neighborhood,Block Address,ZIP Code,the_geom,Buyout Agreement Date,Buyout Amount,Number of Tenants
Mission,500 Block of Dolores Street,94110,"(37.760637683614, -122.425843697547)",9/11/15,"$6,083.76 ",1
Hayes Valley,200 Block of Waller Street,94102,"(37.771433759863, -122.427780879822)",2/9/16,"$10,500.00 ",1
Western Addition,1000 Block of Pierce Street,94115,"(37.779381465353, -122.435357598678)",9/8/15,"$48,500.00 ",1
Mission,300 Block of Lexington Street,94110,"(37.75775140358, -122.420353645248)",12/28/15,"$40,082.70 ",1
Noe Valley,1000 Block of Church Street,94114,"(37.754090126042, -122.427728377279)",11/30/15,"$80,000.00 ",4
Visitacion Valley,100 Block of Raymond Avenue,94134,"(37.712974703616, -122.406103308878)",11/25/15,"$32,500.00 ",5
Outer Richmond,500 Block of 22nd Avenue,94121,"(37.777383227703, -122.481244651927)",11/23/15,"$40,000.00 ",2
Sunset/Parkside,100 Block of Clearfield Drive,94132,"(37.73135995022, -122.49132183967)",10/2/15,"$32,000.00 ",3
Mission,300 Block of South Van Ness Avenue,94103,"(37.767609514424, -122.417654820048)",2/23/16,"$30,000.00 ",2
Outer Richmond,700 Block of 20th Avenue,94121,"(37.773750976342, -122.478835238597)",2/27/17,"$49,258.67 ",1
Outer Richmond,600 Block of 24th Avenue,94121,"(37.777285815305, -122.483388670951)",11/2/15,"$22,000.00 ",1
Inner Richmond,200 Block of 6th Avenue,94118,"(37.783868868987, -122.464419096323)",8/2/16,"$110,000.00 ",2
Pacific Heights,1900 Block of Broadway Street,94109,"(37.795054500846, -122.429177912371)",9/29/15,"$14,600.00 ",2
Outer Richmond,200 Block of 27th Avenue,94121,"(37.784720301284, -122.487149444925)",9/16/15,"$10,000.00 ",1
Pacific Heights,2400 Block of Buchanan Street,94115,"(37.792440182072, -122.431245878569)",9/28/15,"$27,173.37 ",2
Pacific Heights,2400 Block of Buchanan Street,94115,"(37.792440182072, -122.431245878569)",9/28/15,"$9,500.00 ",2
Pacific Heights,2000 Block of Pine Street,94115,"(37.78852692866, -122.429544952567)",10/5/15,"$135,000.00 ",2
West of Twin Peaks,100 Block of Stillings Avenue,94131,"(37.734615861265, -122.44365434557)",1/13/16,"$20,000.00 ",1
West of Twin Peaks,100 Block of Stillings Avenue,94131,"(37.734615861265, -122.44365434557)",1/13/16,"$20,000.00 ",1
Marina,2800 Block of Green Street,94123,"(37.794856433607, -122.445986627592)",1/7/16,"$26,500.00 ",1
Twin Peaks,300 Block of Douglass Street,94114,"(37.757631466138, -122.439122704907)",3/1/16,"$100,000.00 ",1
Sunset/Parkside,2400 Block of 47th Avenue,94116,"(37.740784648249, -122.505694431039)",10/6/15,"$40,000.00 ",1
Mission,3500 Block of 19th Street,94110,"(37.760021359168, -122.421836479978)",12/18/15,"$38,200.00 ",1
Mission,1400 Block of Potrero Avenue,94110,"(37.750481610374, -122.405740397556)",9/26/16,"$100,000.00 ",2
Western Addition,1000 Block of Pierce Street,94115,"(37.779381465353, -122.435357598678)",10/13/15,"$31,250.00 ",1
Western Addition,1000 Block of Pierce Street,94115,"(37.779381465353, -122.435357598678)",10/13/15,"$31,250.00 ",1
Visitacion Valley,0 Block of Talbert Street,94134,"(37.711213524668, -122.406059453177)",3/23/16,"$67,500.00 ",3
Pacific Heights,2400 Block of Buchanan Street,94115,"(37.792440182072, -122.431245878569)",10/14/15,"$29,500.00 ",1
Bernal Heights,3100 Block of Mission Street,94110,"(37.746504038299, -122.419374719841)",2/18/16,"$59,570.42 ",1
Pacific Heights,2900 Block of Pacific Avenue,94115,"(37.79224704319, -122.443841350742)",12/23/15,"$20,000.00 ",2
Haight Ashbury,0 Block of Alpine Terrace,94117,"(37.769637600081, -122.437611176904)",1/4/16,"$35,000.00 ",2
Russian Hill,1300 Block of Union Street,94109,"(37.798920555278, -122.421523826472)",12/15/15,"$20,000.00 ",2
Sunset/Parkside,3900 Block of Quintara Street,94116,"(37.747205563278, -122.50742320185)",2/9/16,"$36,000.00 ",2
Sunset/Parkside,3900 Block of Quintara Street,94116,"(37.747205563278, -122.50742320185)",2/9/16,"$35,000.00 ",1
Potrero Hill,1100 Block of De Haro Street,94107,"(37.755910885772, -122.400678627271)",2/1/16,"$60,000.00 ",1
Castro/Upper Market,100 Block of Noe Street,94114,"(37.767057655689, -122.433439075678)",1/8/16,"$61,750.00 ",1
Inner Richmond,600 Block of 9th  Avenue,94118,"(37.776158473505, -122.467084259779)",3/1/16,"$30,000.00 ",1
Sunset/Parkside,1200 Block of 38th Avenue,94122,"(37.763601325316, -122.497619164553)",12/28/15,"$27,000.00 ",4
Sunset/Parkside,2200 Block of 43rd Avenue,94116,"(37.744711801232, -122.501671606959)",10/22/15,"$45,000.00 ",3
Western Addition,1000 Block of Eddy Street,94109,"(37.782321233948, -122.425763303361)",12/15/15,"$8,586.00 ",1
Sunset/Parkside,2400 Block of 46th Avenue,94116,"(37.740838696092, -122.504486029128)",11/5/15,"$5,000.00 ",1
Nob Hill,0 Block of Glover Street,94109,"(37.797126687253, -122.416102200193)",10/26/15,"$12,500.00 ",1
Noe Valley,200 Block of Jersey Street,94114,"(37.750640417826, -122.430680031709)",1/12/16,"$48,500.00 ",2
Noe Valley,200 Block of Jersey Street,94114,"(37.750640417826, -122.430680031709)",2/22/16,"$10,000.00 ",2
Marina,3200 Block of Gough Street,94123,"(37.803250180942, -122.428373635935)",1/22/16,"$50,000.00 ",2
Nob Hill,900 Block of Pine Street,94108,"(37.790698768668, -122.411621210288)",12/18/15,"$8,000.00 ",2
Outer Mission,0 Block of Harrington Street,94112,"(37.725569922322, -122.435385085583)",12/18/15,"$7,000.00 ",2
West of Twin Peaks,2100 Block of 17th Avenue,94116,"(37.747809820642, -122.473811815211)",1/4/16,"$25,000.00 ",2
Excelsior,500 Block of London Street,94112,"(37.720457745585, -122.437030988136)",1/19/16,"$40,000.00 ",1
Castro/Upper Market,0 Block of Museum Way,94114,"(37.764517414666, -122.440219513713)",4/20/16,"$86,940.00 ",1
Haight Ashbury,500 Block of Waller Street,94117,"(37.770966902605, -122.432321754736)",10/26/15,"$76,981.35 ",5
Haight Ashbury,500 Block of Waller Street,94117,"(37.770966902605, -122.432321754736)",10/26/15,"$88,292.50 ",4
Outer Richmond,500 Block of 21st Avenue,94121,"(37.777425599541, -122.480311994704)",12/24/15,"$8,000.00 ",1
Russian Hill,2100 Block of Taylor Street,94133,"(37.80214615139, -122.414655119636)",7/8/16,"$99,000.00 ",1
Western Addition,1000 Block of Pierce Street,94115,"(37.779381465353, -122.435357598678)",11/2/15,"$48,500.00 ",1
Excelsior,600 Block of Vienna Street,94112,"(37.718109957389, -122.432110014399)",3/11/16,"$20,000.00 ",2
Excelsior,600 Block of Vienna Street,94112,"(37.718109957389, -122.432110014399)",12/4/17,"$30,000.00 ",2
Inner Sunset,1400 Block of 15th Avenue,94122,"(37.760952026467, -122.47252455676)",11/8/16,"$50,000.00 ",6
Castro/Upper Market,100 Block of Alpine Terrace,94117,"(37.768132674098, -122.437454373128)",12/29/15,"$60,000.00 ",1
Sunset/Parkside,2400 Block of 47th Avenue,94116,"(37.740784648249, -122.505694431039)",2/3/16,"$29,500.00 ",6
Noe Valley,500 Block of Hill Street,94114,"(37.755410552516, -122.43336700693)",2/1/16,"$25,000.00 ",1
Outer Richmond,400 Block of 35th Avenue,94121,"(37.780555778954, -122.495589494229)",11/9/15,"$80,000.00 ",1
Excelsior,400 Block of Naples Street,94112,"(37.721655228711, -122.430674546552)",5/17/16,"$47,000.00 ",5
Bayview Hunters Point,1400 Block of Newcomb Avenue,94124,"(37.733592415361, -122.387018017894)",11/10/15,"$12,606.13 ",1
Russian Hill,0 Block of Marion Place,94133,"(37.799911862957, -122.415318929993)",4/1/16,"$50,000.00 ",4
Visitacion Valley,300 Block of Harkness Avenue,94134,"(37.717648894143, -122.4041634129)",1/5/16,"$20,000.00 ",2
Hayes Valley,700 Block of Fillmore Street,94117,"(37.776288363318, -122.431359853738)",2/19/16,"$35,000.00 ",1
Pacific Heights,1800 Block of Sacramento Street,94109,"(37.791130853622, -122.423327344321)",12/7/15,"$5,000.00 ",1
Potrero Hill,700 Block of Tennessee Street,94107,"(37.762344115223, -122.389739252752)",11/12/15,"$28,000.00 ",1
Western Addition,1000 Block of Pierce Street,94115,"(37.779381465353, -122.435357598678)",11/12/15,"$48,500.00 ",1
Sunset/Parkside,1500 Block of 33rd Avenue,94122,"(37.758234933092, -122.491870947353)",3/14/16,"$5,500.00 ",1
