Analysis Neighborhood,Block Address,ZIP Code,the_geom,Buyout Agreement Date,Buyout Amount,Number of Tenants
Sunset/Parkside,2300 Block of 44th Avenue,94116,"(37.742802705239, -122.502473624812)",6/29/17,"$10,000.00 ",1
Mission,2800 Block of 19th Street,94110,"(37.760401588913, -122.410474359172)",7/21/17,"$50,000.00 ",2
Outer Richmond,400 Block of 15th Avenue,94118,"(37.779617574027, -122.473838626662)",6/28/17,"$24,000.00 ",2
Russian Hill,1200 Block of Lombard Street,94109,"(37.80160394675, -122.422069171932)",7/31/17,"$30,000.00 ",1
Sunset/Parkside,1500 Block of 48th Avenue,94122,"(37.75752925888, -122.507939651471)",6/26/17,"$10,000.00 ",1
Mission,1400 Block of Valencia Street,94110,"(37.749702011059, -122.420499334526)",7/31/17,"$50,000.00 ",3
West of Twin Peaks,300 Block of Marietta Drive,94127,"(37.73816924251, -122.444849042784)",5/22/17,"$17,062.00 ",2
Outer Richmond,500 Block of 40th Avenue,94121,"(37.778389513157, -122.500800305072)",7/12/17,"$26,000.00 ",3
Outer Richmond,800 Block of 27th Avenue,94121,"(37.773402036577, -122.486470437105)",7/31/17,"$50,000.00 ",3
Outer Richmond,100 Block of 19th Avenue,94121,"(37.785099470136, -122.478715298018)",9/11/17,"$51,375.00 ",3
Hayes Valley,1300 Block of Grove Street,94117,"(37.775873736782, -122.438834116565)",11/6/17,"$70,000.00 ",1
Hayes Valley,1300 Block of Grove Street,94117,"(37.775873736782, -122.438834116565)",11/13/17,"$150,000.00 ",3
Hayes Valley,1300 Block of Grove Street,94117,"(37.775873736782, -122.438834116565)",11/6/17,"$55,000.00 ",1
Mission,2800 Block of 21st Street,94110,"(37.757566584782, -122.410980668172)",7/25/17,"$100,000.00 ",4
Marina,1800 Block of Jefferson Street,94123,"(37.804689651157, -122.44294787217)",12/15/17,"$94,000.00 ",4
Mission,3500 Block of 20th Street,94110,"(37.758466848461, -122.420884032109)",8/7/17,"$155,000.00 ",2
Excelsior,300 Block of Rolph Street,94112,"(37.713160429888, -122.435633085744)",8/22/17,"$44,031.00 ",4
Sunset/Parkside,2000 Block of Rivera Street,94116,"(37.746181127069, -122.488267468855)",5/16/17,"$15,707.00 ",2
South of Market,500 Block of 4th Street,94107,"(37.779311707085, -122.397849560791)",8/21/17,"$25,000.00 ",1
Bernal Heights,600 Block of San Jose Avenue,94110,"(37.745939029038, -122.421805189326)",7/24/17,"$87,500.00 ",3
Castro/Upper Market,300 Block of Liberty Street,94114,"(37.757322453303, -122.429051968676)",5/19/17,"$2,500.00 ",1
Hayes Valley,500 Block of Fell Street,94102,"(37.775475184798, -122.426907979679)",5/22/17,"$57,500.00 ",1
Nob Hill,1600 Block of Clay Street,94109,"(37.792433934383, -122.420216385905)",7/31/17,"$24,000.00 ",1
West of Twin Peaks,0 Block of Burlwood Drive,94127,"(37.734848865194, -122.454282734559)",6/13/17,"$15,500.00 ",1
West of Twin Peaks,100 Block of Baden Street,94131,"(37.731158289193, -122.439809213829)",7/19/17,"$20,000.00 ",1
Outer Mission,100 Block of Wilson Street,94112,"(37.708448853815, -122.460316845293)",8/15/17,"$24,000.00 ",1
Pacific Heights,400 Block of Austin Street,94109,"(37.788377911628, -122.426135702015)",8/29/17,"$20,000.00 ",4
Sunset/Parkside,1600 Block of 26th Avenue,94122,"(37.756703823099, -122.48423838272)",5/30/17,"$27,219.00 ",3
Pacific Heights,2500 Block of Sacramento Street,94115,"(37.78978736224, -122.434861053777)",9/19/17,"$27,000.00 ",1
West of Twin Peaks,200 Block of Monterey Boulevard,94131,"(37.731680682361, -122.440884412905)",8/2/17,"$40,000.00 ",2
Potrero Hill,600 Block of San Bruno Avenue,94107,"(37.761419005297, -122.40522753706)",6/2/17,"$28,000.00 ",4
Noe Valley,200 Block of 30th Street,94131,"(37.742243217874, -122.425028695341)",6/9/17,"$67,000.00 ",1
Hayes Valley,200 Block of Lily Street,94102,"(37.774288492328, -122.425007729803)",8/11/17,"$25,000.00 ",2
Marina,1600 Block of Lombard Street,94123,"(37.800665922488, -122.428624512075)",6/14/17,"$60,000.00 ",1
Russian Hill,1300 Block of Lombard Street,94109,"(37.801505364344, -122.423738557618)",6/16/17,"$17,261.08 ",1
Oceanview/Merced/Ingleside,100 Block of Farallones Street,94112,"(37.714011116114, -122.457547776797)",6/16/17,"$37,500.00 ",5
Sunset/Parkside,1900 Block of 34th Avenue,94116,"(37.750728170566, -122.492420257818)",8/24/17,"$18,800.00 ",2
Bernal Heights,3800 Block of Folsom Street,94110,"(37.738644560262, -122.413268253615)",9/22/17,"$29,042.50 ",2
Excelsior,100 Block of Harvard Street,94134,"(37.727689863625, -122.421178656383)",9/12/17,"$75,000.00 ",4
Inner Sunset,300 Block of Crestmont Drive,94131,"(37.758781373095, -122.459417334151)",8/25/17,$0.00 ,1
Noe Valley,400 Block of Hoffman Avenue,94114,"(37.750097153605, -122.440606260273)",9/12/17,"$32,500.00 ",2
Marina,2100 Block of Vallejo Street,94123,"(37.795593885587, -122.43265941375)",6/28/17,"$4,500.00 ",1
Sunset/Parkside,2600 Block of 20th Avenue,94116,"(37.738339600789, -122.476496196806)",10/5/17,"$15,000.00 ",1
Pacific Heights,1800 Block of Steiner Street,94115,"(37.786334708594, -122.435080058737)",6/29/17,"$52,500.00 ",2
Oceanview/Merced/Ingleside,900 Block of Randolph Street,94132,"(37.714968820944, -122.471418650531)",10/16/17,"$55,000.00 ",1
Oceanview/Merced/Ingleside,300 Block of Vernon Street,94132,"(37.718782406415, -122.468113421032)",7/25/17,"$20,000.00 ",1
Castro/Upper Market,4300 Block of 20th Street,94114,"(37.757644682332, -122.436352539033)",10/17/17,"$70,000.00 ",2
Marina,1700 Block of Chestnut Street,94123,"(37.801286084076, -122.432123526793)",8/30/17,"$40,000.00 ",2
Sunset/Parkside,1300 Block of 29th Avenue,94122,"(37.762162224637, -122.487704355)",11/2/17,"$28,443.00 ",3
Haight Ashbury,1000 Block of Page Street,94117,"(37.772151294973, -122.438078046196)",9/15/17,"$40,000.00 ",2
Russian Hill,1700 Block of Mason Street,94133,"(37.799398243721, -122.412413942677)",9/11/17,"$40,000.00 ",2
Potrero Hill,700 Block of Kansas Street,94107,"(37.760250431921, -122.403178548603)",12/29/17,"$40,000.00 ",2
Haight Ashbury,700 Block of Clayton Street,94117,"(37.767926932022, -122.448269733897)",8/24/17,"$44,012.47 ",1
Mission,1300 Block of Utah Street,94110,"(37.752421188414, -122.405338378316)",1/9/18,"$65,000.00 ",3
Mission,1300 Block of Utah Street,94110,"(37.752421188414, -122.405338378316)",12/5/17,"$46,000.00 ",1
Oceanview/Merced/Ingleside,0 Block of Kempton Avenue,94132,"(37.711457663884, -122.468365695899)",7/13/17,"$50,000.00 ",1
Castro/Upper Market,300 Block of Corbett Avenue,94114,"(37.759926049903, -122.445043500649)",7/14/17,"$11,000.00 ",2
Inner Richmond,300 Block of 5th Avenue,94118,"(37.782026512404, -122.463349690248)",9/6/17,"$1,000.00 ",2
Outer Richmond,100 Block of 21st Avenue,94121,"(37.785008443501, -122.480723607713)",9/15/17,"$250,000.00 ",1
Haight Ashbury,600 Block of Cole Street,94117,"(37.769050695786, -122.450684307602)",10/12/17,"$45,000.00 ",1
Pacific Heights,2000 Block of Pacific Avenue,94109,"(37.794136553404, -122.428992521166)",9/19/17,$0.00 ,1
Potrero Hill,800 Block of 22nd Street,94107,"(37.75790953443, -122.389734377666)",2/1/18,,3
Potrero Hill,800 Block of 22nd Street,94107,"(37.75790953443, -122.389734377666)",11/2/17,"$51,090.00 ",3
Glen Park,2700 Block of Diamond Street,94131,"(37.734786152666, -122.433850482384)",1/30/18,"$56,500.00 ",1
Outer Mission,100 Block of Milton Street,94112,"(37.732956828088, -122.429427817301)",10/16/17,"$45,000.00 ",3
Mission,900 Block of York Street,94110,"(37.7568570583, -122.408506270709)",4/24/18,"$40,000.00 ",1
Outer Richmond,400 Block of 28th Avenue,94121,"(37.780907674009, -122.488084552295)",10/10/17,"$21,000.00 ",2
Western Addition,0 Block of Inca Lane,94115,"(37.783219379277, -122.428973541006)",5/14/18,"$6,627.00 ",1
North Beach,200 Block of Filbert Street,94133,"(37.801979796091, -122.404016451336)",9/20/17,"$30,000.00 ",1
Noe Valley,0 Block of Amber Drive,94131,"(37.746001630751, -122.443797483125)",9/15/17,"$185,000.00 ",1
Sunset/Parkside,1500 Block of 29th Avenue,94122,"(37.758424116042, -122.48758337799)",4/4/18,"$28,500.00 ",2
Bernal Heights,200 Block of Cortland Avenue,94110,"(37.739464255517, -122.418843328602)",7/31/17,,1
Bayview Hunters Point,2200 Block of Jerrold Avenue,94124,"(37.745512787517, -122.401128896134)",11/13/17,"$75,000.00 ",4
North Beach,1200 Block of Montgomery Street,94133,"(37.800346441883, -122.404219340975)",11/13/17,"$50,000.00 ",1
Western Addition,1800 Block of Golden Gate Avenue,94115,"(37.77835128794, -122.441028449051)",10/16/17,"$25,640.00 ",1
Bayview Hunters Point,1500 Block of Thomas Avenue,94124,"(37.729927376552, -122.390314136115)",10/12/17,"$33,031.00 ",5
Inner Richmond,300 Block of 5th Avenue,94118,"(37.782026512404, -122.463349690248)",1/12/18,"$12,600.00 ",2
West of Twin Peaks,0 Block of Malta Drive,94131,"(37.735431000536, -122.443949690749)",10/27/17,"$47,500.00 ",2
Sunset/Parkside,900 Block of Wawona Street,94116,"(37.737438572105, -122.476909901561)",8/8/17,"$20,000.00 ",3
Marina,200 Block of Cervantes Boulevard,94123,"(37.805276091473, -122.441593355511)",12/19/17,"$20,600.00 ",1
Lone Mountain/USF,1500 Block of Fulton Street,94117,"(37.776276302674, -122.442299447306)",4/2/18,"$235,000.00 ",4
Tenderloin,300 Block of Turk Street,94102,"(37.782635512209, -122.414862827874)",10/19/17,"$11,000.00 ",1
Potrero Hill,700 Block of De Haro Street,94107,"(37.76036740788, -122.401206803748)",10/30/17,"$20,000.00 ",1
Castro/Upper Market,500 Block of Sanchez Street,94114,"(37.760760560571, -122.430466314406)",5/15/18,"$50,000.00 ",2
Bayview Hunters Point,1900 Block of Quint Street,94124,"(37.733142159284, -122.400353039792)",8/22/17,"$18,000.00 ",5
Outer Richmond,3200 Block of Balboa Street,94121,"(37.775941178296, -122.493578079051)",12/11/17,"$18,000.00 ",2
Outer Richmond,3200 Block of Balboa Street,94121,"(37.775941178296, -122.493578079051)",12/20/17,"$15,000.00 ",2
Twin Peaks,3600 Block of Market Street,94131,"(37.75539574323, -122.441235837757)",11/9/17,"$65,000.00 ",1
Marina,3600 Block of Scott Street,94123,"(37.803356026112, -122.4418979485)",8/23/17,"$15,000.00 ",2
Nob Hill,100 Block of Bernard Street,94109,"(37.796158959418, -122.415907056002)",10/16/17,"$27,219.00 ",3
Potrero Hill,700 Block of Rhode Island Street,94107,"(37.760308806704, -122.402210445924)",11/27/17,"$65,000.00 ",2
Haight Ashbury,1500 Block of Oak Street,94117,"(37.772133607526, -122.444859556269)",10/30/17,"$1,620.29 ",1
Outer Mission,1200 Block of Alemany Boulevard,94112,"(37.730339920422, -122.432385162785)",1/17/18,"$32,000.00 ",2
Excelsior,100 Block of Maynard Street,94112,"(37.729395149487, -122.427150965565)",10/17/17,"$12,600.00 ",2
Chinatown,0 Block of John Street,94133,"(37.795900046547, -122.410798369082)",11/20/17,"$20,000.00 ",3
Excelsior,1100 Block of Naples Street,94112,"(37.712119535337, -122.43758840244)",10/20/17,"$7,500.00 ",1
Excelsior,1100 Block of Naples Street,94112,"(37.712119535337, -122.43758840244)",10/18/17,"$7,500.00 ",1
Excelsior,1100 Block of Naples Street,94112,"(37.712119535337, -122.43758840244)",10/25/17,"$7,500.00 ",1
Excelsior,1100 Block of Naples Street,94112,"(37.712119535337, -122.43758840244)",10/18/17,"$7,500.00 ",1
Excelsior,700 Block of Avalon Avenue,94112,"(37.725002662247, -122.426466651818)",11/7/17,"$3,250.00 ",1
Sunset/Parkside,2000 Block of 47th Avenue,94116,"(37.74825048667, -122.506221852227)",1/17/18,"$52,900.00 ",1
Mission,200 Block of 11th Street,94103,"(37.77283648816, -122.41533082295)",12/5/17,"$14,500.00 ",1
Inner Sunset,1400 Block of Lincoln Way,94122,"(37.765507355583, -122.473477522806)",10/31/17,"$25,000.00 ",4
Castro/Upper Market,800 Block of Church Street,94114,"(37.757686099927, -122.4280788557)",12/21/17,"$33,000.00 ",2
Castro/Upper Market,4500 Block of 18th Street,94114,"(37.760551067807, -122.439668464683)",11/29/17,"$50,000.00 ",2
Castro/Upper Market,4500 Block of 18th Street,94114,"(37.760551067807, -122.439668464683)",12/5/17,"$50,000.00 ",2
Sunset/Parkside,1500 Block of 47th Avenue,94122,"(37.757576192227, -122.506871317296)",12/18/17,"$44,000.00 ",4
Russian Hill,1600 Block of Clay Street,94109,"(37.792542405399, -122.42023827612)",10/2/17,"$60,000.00 ",1
Lone Mountain/USF,700 Block of Central Avenue,94117,"(37.776478583196, -122.444941608879)",1/2/18,"$45,000.00 ",1
Outer Richmond,700 Block of 15th Avenue,94118,"(37.773998348098, -122.473426323837)",4/9/18,"$45,670.00 ",1
Lakeshore,100 Block of Lake Merced Hill Street South,94132,"(37.710591522793, -122.483990040772)",1/26/18,"$14,200.00 ",1
Noe Valley,3500 Block of 22nd Street,94114,"(37.754984269238, -122.427189956015)",11/17/17,"$25,000.00 ",2
Castro/Upper Market,100 Block of Saturn Street,94114,"(37.762604397515, -122.443811143732)",11/21/17,"$9,000.00 ",3
Castro/Upper Market,4100 Block of 21st Street,94114,"(37.755983976936, -122.437279467708)",11/17/17,"$50,000.00 ",1
Haight Ashbury,800 Block of Cole Street,94117,"(37.766255863117, -122.450120203458)",11/1/17,"$20,000.00 ",1
Oceanview/Merced/Ingleside,300 Block of Vernon Street,94132,"(37.718783179868, -122.467975131072)",11/28/17,"$50,000.00 ",2
Inner Richmond,100 Block of 4th Avenue,94118,"(37.786014041547, -122.462563101234)",12/19/17,"$41,000.00 ",2
Castro/Upper Market,3900 Block of 18th Street,94114,"(37.761143168245, -122.431688789488)",12/1/17,"$20,000.00 ",1
Castro/Upper Market,0 Block of Rayburn Street,94114,"(37.756653170899, -122.431877310221)",4/5/18,"$100,000.00 ",1
Castro/Upper Market,400 Block of Liberty Street,94114,"(37.756982619059, -122.432121595722)",4/5/18,"$50,000.00 ",1
Western Addition,1000 Block of Eddy Street,94109,"(37.782321233948, -122.425763303361)",11/29/17,"$10,000.00 ",1
Sunset/Parkside,1200 Block of Ortega Street,94122,"(37.752408694617, -122.476857443348)",1/26/18,"$31,849.00 ",4
Inner Sunset,1900 Block of 16th Avenue,94116,"(37.751582539455, -122.473136949384)",10/23/17,"$16,750.00 ",3
Bernal Heights,0 Block of Fair Avenue,94110,"(37.745204610505, -122.419070865322)",11/13/17,"$17,000.00 ",1
Inner Richmond,1800 Block of Anza Street,94118,"(37.778976417798, -122.467894075165)",9/28/17,"$40,000.00 ",2
Outer Richmond,3400 Block of Cabrillo Street,94121,"(37.773867375142, -122.495573224659)",9/28/17,"$11,000.00 ",1
Mission,500 Block of Shotwell Street,94110,"(37.759627693135, -122.415923018478)",12/5/17,"$35,000.00 ",4
McLaren Park,900 Block of Dartmouth Street,94134,"(37.719256709442, -122.408802982306)",11/27/17,"$6,800.00 ",1
Castro/Upper Market,1000 Block of 14th Street,94114,"(37.767135531594, -122.437743157864)",12/20/17,"$19,500.00 ",2
Japantown,1700 Block of Steiner Street,94115,"(37.785418772971, -122.434755485233)",12/26/17,"$10,203.48 ",2
Sunset/Parkside,1600 Block of 48th Avenue,94122,"(37.755670610625, -122.507670205188)",11/22/17,"$6,300.00 ",1
Sunset/Parkside,1600 Block of 48th Avenue,94122,"(37.755670610625, -122.507670205188)",12/18/17,"$16,000.00 ",1
Noe Valley,700 Block of Clipper Street,94114,"(37.748696513963, -122.440449238871)",11/21/17,"$150,000.00 ",1
Hayes Valley,500 Block of Pierce Street,94117,"(37.774937688919, -122.434457138283)",2/16/18,"$70,000.00 ",1
Marina,1600 Block of Beach Street,94123,"(37.804693684724, -122.436278802064)",3/7/18,"$80,000.00 ",1
Inner Richmond,2800 Block of Fulton Street,94118,"(37.773881736771, -122.46216273771)",10/5/17,"$17,000.00 ",2
Presidio Heights,1400 Block of Baker Street,94115,"(37.784353072601, -122.443154108637)",10/6/17,"$20,000.00 ",3
Hayes Valley,100 Block of Haight Street,94102,"(37.772900089786, -122.424646169167)",12/28/17,"$20,000.00 ",1
Inner Sunset,400 Block of Hugo Street,94122,"(37.765192844071, -122.462635512443)",2/26/18,"$20,000.00 ",1
Bayview Hunters Point,200 Block of Nueva Avenue,94134,"(37.710709097949, -122.397456441477)",10/13/17,"$3,915.00 ",2
Outer Richmond,800 Block of 30th Avenue,94121,"(37.773255461614, -122.4896787335)",4/11/18,"$52,000.00 ",1
Marina,2400 Block of Union Street,94123,"(37.796511711352, -122.439589612888)",4/2/18,$0.00 ,1
Castro/Upper Market,0 Block of Pond Street,94114,"(37.76347437701, -122.432270774967)",12/29/17,"$36,000.00 ",1
Marina,2900 Block of Broderick Street,94123,"(37.797425275531, -122.444112483038)",1/3/18,"$30,000.00 ",2
Mission,300 Block of Bartlett Street,94110,"(37.751376299007, -122.419409557671)",12/19/17,"$11,000.00 ",1
Russian Hill,800 Block of Greenwich Street,94133,"(37.801896409519, -122.413270635249)",12/19/17,"$200,000.00 ",2
Western Addition,1500 Block of Golden Gate Avenue,94115,"(37.77898707071, -122.43605197008)",1/5/18,"$21,687.50 ",2
Haight Ashbury,400 Block of Frederick Street,94117,"(37.766428605175, -122.452109964179)",5/7/18,"$55,000.00 ",1
Inner Sunset,1400 Block of 11th Avenue,94122,"(37.761152424688, -122.468186814869)",12/19/17,"$8,181.00 ",1
Bernal Heights,200 Block of Cortland Avenue,94110,"(37.739464255517, -122.418843328602)",10/10/17,"$17,000.00 ",1
West of Twin Peaks,200 Block of Monterey Boulevard,94131,"(37.731680682361, -122.440884412905)",1/25/18,"$20,000.00 ",2
Sunset/Parkside,2500 Block of Rivera Street,94116,"(37.74605384909, -122.493636358609)",11/7/17,"$11,000.00 ",2
Castro/Upper Market,0 Block of Walter Street,94114,"(37.768384878251, -122.432450783246)",1/4/18,"$100,000.00 ",2
Castro/Upper Market,200 Block of Castro Street,94114,"(37.764518504078, -122.435287518203)",3/28/18,"$62,000.00 ",2
Presidio Heights,3900 Block of Washington Street,94118,"(37.78859664797, -122.458321745166)",1/22/18,"$24,500.00 ",1
Nob Hill,700 Block of Pine Street,94108,"(37.791197250682, -122.407680788047)",1/10/18,$0.00 ,2
Castro/Upper Market,4700 Block of 18th Street,94114,"(37.759951941274, -122.443935062684)",2/8/18,"$77,700.00 ",1
Excelsior,100 Block of Maynard Street,94112,"(37.729395149487, -122.427150965565)",11/8/17,"$6,300.00 ",1
Outer Richmond,300 Block of 26th Avenue,94121,"(37.782900693847, -122.486086091958)",1/30/18,"$17,900.00 ",1
Outer Richmond,300 Block of 26th Avenue,94121,"(37.782900693847, -122.486086091958)",4/25/18,"$58,050.00 ",1
Excelsior,500 Block of London Street,94112,"(37.720457745585, -122.437030988136)",11/15/17,"$12,562.00 ",2
Sunset/Parkside,2300 Block of 37th Avenue,94116,"(37.743131507349, -122.495113415451)",3/6/18,"$45,888.00 ",3
West of Twin Peaks,600 Block of Bosworth Street,94131,"(37.733527216617, -122.434603609233)",2/21/18,"$5,563.48 ",2
Pacific Heights,2200 Block of Pine Street,94115,"(37.788161091409, -122.432425381244)",2/12/18,"$63,300.00 ",1
Nob Hill,1200 Block of Jones Street,94109,"(37.793012250912, -122.414357639273)",3/16/18,"$20,000.00 ",2
Nob Hill,1200 Block of Jones Street,94109,"(37.793012250912, -122.414357639273)",3/28/18,"$30,000.00 ",2
Presidio Heights,200 Block of Arguello Boulevard,94118,"(37.786156052265, -122.459148200965)",11/16/17,"$55,000.00 ",3
North Beach,1800 Block of Grant Avenue,94133,"(37.804155101094, -122.408220312946)",2/23/18,"$90,000.00 ",1
Mission,1300 Block of Stevenson Street,94103,"(37.770783954072, -122.421596103325)",1/11/18,"$15,000.00 ",4
Portola,300 Block of Sweeny Street,94134,"(37.731799729188, -122.412021172937)",3/19/18,"$24,000.00 ",1
Financial District/South Beach,400 Block of Bryant Street,94107,"(37.782677623302, -122.39422265173)",1/31/18,"$138,000.00 ",2
Noe Valley,700 Block of Clipper Street,94114,"(37.748696513963, -122.440449238871)",3/1/18,"$85,000.00 ",2
Lone Mountain/USF,2200 Block of Turk Street,94118,"(37.778847322838, -122.445701681162)",4/2/18,"$15,000.00 ",2
Oceanview/Merced/Ingleside,300 Block of San Miguel Street,94112,"(37.719273892539, -122.448880383205)",11/14/17,"$23,676.00 ",3
South of Market,1200 Block of Folsom Street,94103,"(37.774419501905, -122.410885266083)",12/1/17,$475.00 ,3
Bayview Hunters Point,0 Block of Exeter Street,94124,"(37.722153469589, -122.398611328434)",1/29/18,"$25,000.00 ",2
Inner Sunset,1900 Block of 18th Avenue,94116,"(37.75149354877, -122.475142412315)",3/20/18,"$18,000.00 ",1
Inner Sunset,1900 Block of 18th Avenue,94116,"(37.75149354877, -122.475142412315)",4/24/18,"$35,000.00 ",1
Glen Park,200 Block of Randall Street,94131,"(37.74048196724, -122.429247793287)",12/4/17,"$60,000.00 ",1
Bayview Hunters Point,1900 Block of Oakdale Avenue,94124,"(37.738270728746, -122.396917502606)",1/22/18,"$6,458.00 ",1
Excelsior,100 Block of Maynard Street,94112,"(37.729395149487, -122.427150965565)",1/17/18,"$6,500.00 ",1
Noe Valley,100 Block of Day Street,94131,"(37.743020823453, -122.425456989218)",3/2/18,"$30,000.00 ",6
North Beach,400 Block of Broadway Street,94133,"(37.798224934387, -122.404282497395)",2/26/18,"$10,000.00 ",2
Outer Richmond,5500 Block of California Street,94121,"(37.784191971544, -122.476969127677)",12/8/17,"$16,000.00 ",1
Mission,3400 Block of 21st Street,94110,"(37.756772530873, -122.424183166505)",2/6/18,"$7,000.00 ",1
Presidio Heights,1600 Block of Lyon Street,94115,"(37.786023494496, -122.445045839782)",2/2/18,"$10,000.00 ",1
Pacific Heights,2200 Block of California Street,94115,"(37.78916563183, -122.431362891455)",12/15/17,"$90,520.59 ",2
Inner Sunset,1300 Block of 3rd Avenue,94122,"(37.763619348825, -122.459908045964)",5/7/18,"$61,424.78 ",3
West of Twin Peaks,700 Block of Foerster Street,94127,"(37.734044787286, -122.448816490357)",9/25/17,"$24,278.06 ",2
Bayview Hunters Point,900 Block of Le Conte Avenue,94124,"(37.718063858065, -122.396004115888)",3/13/18,"$12,100.00 ",5
Outer Richmond,600 Block of 15th Avenue,94118,"(37.775863401683, -122.473561465251)",1/4/18,"$6,286.00 ",1
Chinatown,700 Block of Green Street,94133,"(37.799198389217, -122.411030881491)",5/10/18,"$5,000.00 ",1
Russian Hill,2200 Block of Leavenworth Street,94133,"(37.801494790488, -122.417769534564)",2/28/18,"$20,872.74 ",2
Mission,2700 Block of 23rd Street,94110,"(37.75453437847, -122.40790086856)",1/5/18,"$50,000.00 ",3
Oceanview/Merced/Ingleside,600 Block of Mount Vernon Avenue,94112,"(37.719238793986, -122.45037742145)",4/9/18,"$12,000.00 ",1
Castro/Upper Market,0 Block of Hattie Street,94114,"(37.761377978649, -122.440943942972)",3/13/18,"$26,000.00 ",1
Visitacion Valley,0 Block of Bishop Street,94134,"(37.718479245272, -122.404318554421)",3/29/18,"$10,000.00 ",1
Inner Sunset,1800 Block of 14th Avenue,94122,"(37.753430588685, -122.471250879381)",4/25/18,"$52,122.80 ",2
South of Market,400 Block of 3rd Street,94107,"(37.781497094911, -122.39616065025)",5/9/18,"$100,000.00 ",1
Pacific Heights,2000 Block of Franklin Street,94109,"(37.79329229302, -122.424537680436)",4/3/18,"$23,500.00 ",2
Haight Ashbury,1900 Block of Page Street,94117,"(37.77015219104, -122.452879989719)",4/3/18,"$60,000.00 ",1
Outer Richmond,600 Block of 14th Avenue,94118,"(37.775908408471, -122.472572167115)",5/1/18,"$200,000.00 ",2
Outer Richmond,600 Block of 14th Avenue,94118,"(37.775908408471, -122.472572167115)",5/1/18,"$30,000.00 ",1
Visitacion Valley,0 Block of Raymond Avenue,94134,"(37.712247130639, -122.404227070935)",5/7/18,"$25,000.00 ",1
Outer Richmond,200 Block of 19th Avenue,94121,"(37.783238025601, -122.478580262495)",3/19/18,"$9,995.00 ",2
Outer Richmond,800 Block of 26th Avenue,94121,"(37.773450919669, -122.485398727908)",3/5/18,"$11,515.00 ",2
Nob Hill,1700 Block of Sacramento Street,94109,"(37.791446621817, -122.421704924682)",3/20/18,,2
Inner Sunset,0 Block of Cragmont Avenue,94116,"(37.749909320636, -122.467372947042)",4/16/18,"$40,000.00 ",3
Russian Hill,2700 Block of Hyde Street,94109,"(37.806180232638, -122.420532847365)",4/16/18,"$27,100.00 ",2
Sunset/Parkside,1200 Block of 35th Avenue,94122,"(37.76374916068, -122.494267383123)",4/10/18,"$16,600.00 ",1
Inner Richmond,400 Block of 9th Avenue,94118,"(37.779915763186, -122.46735172987)",5/4/18,$0.00 ,1
Outer Mission,700 Block of Huron Avenue,94112,"(37.711379707324, -122.450341084381)",4/2/18,"$11,516.00 ",1
Mission,2900 Block of Mission Street,94110,"(37.74984462225, -122.418142583157)",2/12/18,"$5,100.00 ",1
Sunset/Parkside,2200 Block of 47th Avenue,94116,"(37.744529290666, -122.505821929462)",4/9/18,"$15,000.00 ",2
Presidio Heights,2600 Block of Post Street,94115,"(37.783652064122, -122.445349021992)",4/26/18,"$49,600.00 ",2
Inner Sunset,200 Block of Carl Street,94117,"(37.765392124781, -122.453592199112)",2/12/18,"$15,000.00 ",1
Potrero Hill,1000 Block of De Haro Street,94107,"(37.755910885772, -122.400678627271)",4/27/18,"$40,000.00 ",3
Castro/Upper Market,300 Block of Eureka Street,94114,"(37.756687476118, -122.437950209223)",4/2/18,"$15,000.00 ",1
Chinatown,100 Block of Waverly Place,94108,"(37.794646454366, -122.40684267159)",4/3/18,"$11,000.00 ",1
Twin Peaks,100 Block of Skyview Way,94131,"(37.752626555391, -122.449851654029)",4/20/18,"$25,000.00 ",2
Sunset/Parkside,1400 Block of 41st Avenue,94122,"(37.759724583594, -122.500570751904)",4/24/18,"$22,500.00 ",2
Potrero Hill,500 Block of Connecticut Street,94107,"(37.758696595867, -122.397057095982)",5/1/18,"$23,000.00 ",1
Nob Hill,1000 Block of Washington Street,94108,"(37.794606398081, -122.410294571164)",4/27/18,"$17,500.00 ",1
Pacific Heights,2000 Block of Franklin Street,94109,"(37.79329229302, -122.424537680436)",5/7/18,"$50,000.00 ",1
Mission,3600 Block of 20th Street,94110,"(37.75848630392, -122.422385383102)",4/25/18,"$20,762.77 ",1
Portola,500 Block of Brussels Street,94134,"(37.725334088074, -122.40477049328)",5/8/18,"$30,000.00 ",5
Noe Valley,400 Block of Alvarado Street,94114,"(37.753944864262, -122.430997575546)",5/15/18,"$25,000.00 ",2
Haight Ashbury,200 Block of Downey Street,94117,"(37.765418257892, -122.446783639096)",3/13/18,"$25,000.00 ",2
Russian Hill,900 Block of Union Street,94133,"(37.799810265592, -122.414672648252)",5/2/18,"$16,000.00 ",2
Mission,2800 Block of 16th Street,94103,"(37.765271085034, -122.416942308086)",3/23/18,"$20,833.33 ",2
Mission,2800 Block of 16th Street,94103,"(37.765271085034, -122.416942308086)",3/23/18,"$20,833.33 ",2
Mission,2800 Block of 16th Street,94103,"(37.765271085034, -122.416942308086)",3/23/18,"$20,833.33 ",3
Mission,2800 Block of 16th Street,94103,"(37.765271085034, -122.416942308086)",3/23/18,"$20,833.33 ",6
Mission,2800 Block of 16th Street,94103,"(37.765271085034, -122.416942308086)",3/23/18,"$20,833.34 ",4
