,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
756,ROOFTOP,"801 Montgomery St, San Francisco, CA 94133, USA",ChIJeVDxJfWAhYARvD9prSRC6Tk,"801 montgomery st, San Francisco, CA, 94133",37.79655109999999,-122.4038752,1,94133,OK,premise
757,ROOFTOP,"3565 Geary Blvd, San Francisco, CA 94118, USA",ChIJy9EHjjeHhYARFywPF9-g3tA,"3565 geary blvd, San Francisco, CA, 94118",37.781155,-122.457326,1,94118,OK,street_address
758,ROOFTOP,"1599 Howard St, San Francisco, CA 94103, USA",ChIJY42mbCd-j4ARnETcg7znVW0,"1599 howard st, San Francisco, CA, 94103",37.7717904,-122.4166365,1,94103,OK,street_address
759,ROOFTOP,"3388 24th St, San Francisco, CA 94110, USA",ChIJaexumkB-j4ARGjM33mQGR0I,"3388 24th st, San Francisco, CA, 9411",37.7522219,-122.4202916,2,94110,OK,"establishment,food,meal_takeaway,point_of_interest,restaurant"
760,ROOFTOP,"1330 Noriega St, San Francisco, CA 94122, USA",ChIJbyC8hmKHhYARmiQxW_iCjC8,"1330 noriega st, San Francisco, CA, 94122",37.7544162,-122.4781525,1,94122,OK,street_address
761,ROOFTOP,"1735 Polk St, San Francisco, CA 94109, USA",ChIJyR_y_-qAhYAR07YYlaq3vfk,"1735 polk st, San Francisco, CA, 94109",37.7928614,-122.4214434,1,94109,OK,street_address
762,ROOFTOP,"865 Market St, San Francisco, CA 94103, USA",ChIJ6zMe3oWAhYARaZ33Z1BAMRo,"865 market st 9008, San Francisco, CA, 94103",37.784142,-122.4068825,1,94103,OK,"clothing_store,department_store,establishment,food,movie_theater,point_of_interest,restaurant,shoe_store,shopping_mall,store"
763,ROOFTOP,"2339 Noriega St, San Francisco, CA 94122, USA",ChIJeSPx_H6HhYARUkzglp6mWGY,"2339 noriega st, San Francisco, CA, 94122",37.7535463,-122.4889448,1,94122,OK,street_address
764,ROOFTOP,"1000 Clement St, San Francisco, CA 94118, USA",ChIJfWVZ0heHhYARNZvgIoZXCDo,"1000 clement st, San Francisco, CA, 94118",37.7828456,-122.469957,1,94118,OK,street_address
765,ROOFTOP,"250 Montgomery St, San Francisco, CA 94104, USA",ChIJj82CHYqAhYARFU7ei-vNpgQ,"250 montgomery st, San Francisco, CA, 94104",37.7916795,-122.4023486,1,94104,OK,premise
766,ROOFTOP,"1096 S Van Ness Ave, San Francisco, CA 94110, USA",ChIJaSGy5zh-j4ARnbcLMgmzzQQ,"1096 south van ness ave, San Francisco, CA, 9411",37.755731,-122.4168235,1,94110,OK,"bar,establishment,food,point_of_interest,restaurant"
767,ROOFTOP,"2623 San Bruno Ave, San Francisco, CA 94134, USA",ChIJFSJg2uJ-j4AR2qGkxWxZq4I,"2623 san bruno ave, San Francisco, CA, 94134",37.7286013,-122.4037425,1,94134,OK,premise
768,ROOFTOP,"5512 Geary Blvd, San Francisco, CA 94121, USA",ChIJIS1nRRCHhYAR_VcQLzsX-nc,"5512 geary bl, San Francisco, CA, 94121",37.7806776,-122.4786885,1,94121,OK,premise
769,ROOFTOP,"705 Divisadero St, San Francisco, CA 94117, USA",ChIJ1YdJ07GAhYARVagEsyYdPHs,"705 divisadero st, San Francisco, CA, 94117",37.7762035,-122.4382086,1,94117,OK,premise
770,ROOFTOP,"100 Bush St, San Francisco, CA 94104, USA",ChIJkV-lImKAhYARIZRLXCG7T5k,"100 bush st 110, San Francisco, CA, 94104",37.7915206,-122.3999589,1,94104,OK,"establishment,point_of_interest"
771,ROOFTOP,"1701 Jones St, San Francisco, CA 94109, USA",ChIJGYbsKeyAhYARVMnFFqr5Nug,"1701 jones st, San Francisco, CA, 94109",37.7969571,-122.4154463,1,94109,OK,premise
