business_name,lic_code,business_start_date,business_end_date,Lifespan,closed,age_if_opened,full_address,business_id,name,MA,year,lati,longi
le petit cafe,"Restaurant Less Than 1,000 Sqft",11/16/1986,,,no,11581.0,"1 maritime plz, San Francisco, CA, 94111",886,le petit cafe,98.0,2018.0,37.795227000000004,-122.39913999999999
lava java,"Restaurant Less Than 1,000 Sqft",10/20/2003,,,no,5399.0,"852 stanyan st, San Francisco, CA, 94117",1263,lava java,95.0,2017.0,37.766812,-122.452974
bills place,,11/13/1987,03/17/2016,10352.0,yes,,"2315 clement st, San Francisco, CA, 94121",86359,bills place,83.0,2018.0,37.7818522,-122.4841716
tak kee lee restaurant,"Restaurant Less Than 1,000 Sqft",11/15/2003,,,no,5373.0,"2435 noriega st, San Francisco, CA, 94122",10990,tak kee lee restaurant,85.0,2017.0,37.753623,-122.489929
burger king,Multiple,10/01/1981,,,no,13453.0,"35 powell st, San Francisco, CA, 94102",3769,burger king,98.0,2018.0,37.785094,-122.407785
penang garden restaurant #3,Multiple,12/15/2003,,,no,5343.0,"728 washington st, San Francisco, CA, 94108",3543,penang garden  restaurant,86.5,2017.0,37.795288,-122.405543
saffron lounge,Multiple,12/02/2003,,,no,5356.0,"685 townsend st, San Francisco, CA, 94107",27947,saffron lounge,94.0,2017.0,37.77072800000001,-122.40296200000002
bus stop pizza 1,"Restaurant Less Than 1,000 Sqft",06/12/1987,,,no,11373.0,"256 divisadero st, San Francisco, CA, 94117",151,bus stop pizza #1,86.5,2018.0,37.771487,-122.43704699999999
peets coffee  tea,"Restaurant Less Than 1,000 Sqft",01/01/1989,,,no,10804.0,"680 mission st, San Francisco, CA, 94103",24431,peets coffee  tea,97.0,2018.0,37.78658400000001,-122.40163899999999
franciscan crab restaurant,"Restaurant Greater Than 2,000 Sqft",07/16/1998,,,no,7321.0,"pier 43 1/2, San Francisco, CA, 94133",3114,franciscan crab restaurant,86.0,2017.0,37.808931,-122.41506899999999
specialtys cafe  bakery,Multiple,03/16/1988,,,no,11095.0,"1 post st lwr lvl, San Francisco, CA, 94104",38197,specialtys cafe  bakery,96.0,2017.0,37.789068,-122.40201
