Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv
B153059,11/3/15,3/11/16,"$20,000.00 ",FALSE,FALSE,2,600 Block of Vienna Street,94112,11,Excelsior,"(37.718109957389, -122.432110014399)",90,9,1,7,5,7,6,9,"28,861"
B153060,11/3/15,12/4/17,"$30,000.00 ",FALSE,FALSE,2,600 Block of Vienna Street,94112,11,Excelsior,"(37.718109957389, -122.432110014399)",90,9,1,7,5,7,6,9,"28,861"
B153062,11/3/15,11/8/16,"$50,000.00 ",FALSE,FALSE,6,1400 Block of 15th Avenue,94122,7,Inner Sunset,"(37.760952026467, -122.47252455676)",109,10,8,14,12,8,4,1,56
B153063,11/4/15,12/29/15,"$60,000.00 ",FALSE,FALSE,1,100 Block of Alpine Terrace,94117,8,Castro/Upper Market,"(37.768132674098, -122.437454373128)",112,7,5,5,3,5,5,15,"29,492"
B153068,11/5/15,2/3/16,"$29,500.00 ",FALSE,FALSE,6,2400 Block of 47th Avenue,94116,4,Sunset/Parkside,"(37.740784648249, -122.505694431039)",39,10,7,35,35,8,3,1,"29,491"
B153072,11/6/15,2/1/16,"$25,000.00 ",FALSE,TRUE,1,500 Block of Hill Street,94114,8,Noe Valley,"(37.755410552516, -122.43336700693)",115,3,5,22,22,4,5,2,"28,862"
B153122,,11/9/15,"$80,000.00 ",FALSE,TRUE,1,400 Block of 35th Avenue,94121,1,Outer Richmond,"(37.780555778954, -122.495589494229)",8,8,4,29,26,6,2,11,55
B153123,12/15/15,5/17/16,"$47,000.00 ",FALSE,TRUE,5,400 Block of Naples Street,94112,11,Excelsior,"(37.721655228711, -122.430674546552)",90,9,1,7,5,7,6,9,"28,861"
B153124,,11/10/15,"$12,606.13 ",FALSE,FALSE,1,1400 Block of Newcomb Avenue,94124,10,Bayview Hunters Point,"(37.733592415361, -122.387018017894)",86,2,9,1,1,3,8,10,58
B153127,11/12/15,4/1/16,"$50,000.00 ",FALSE,TRUE,4,0 Block of Marion Place,94133,3,Russian Hill,"(37.799911862957, -122.415318929993)",107,6,3,32,32,1,10,5,308
B153128,11/12/15,1/5/16,"$20,000.00 ",FALSE,FALSE,2,300 Block of Harkness Avenue,94134,10,Visitacion Valley,"(37.717648894143, -122.4041634129)",75,9,9,40,39,7,8,10,309
B153129,11/12/15,2/19/16,"$35,000.00 ",FALSE,FALSE,1,700 Block of Fillmore Street,94117,5,Hayes Valley,"(37.776288363318, -122.431359853738)",23,4,11,9,10,9,11,15,"29,492"
B153133,11/12/15,12/7/15,"$5,000.00 ",FALSE,FALSE,1,1800 Block of Sacramento Street,94109,2,Pacific Heights,"(37.791130853622, -122.423327344321)",102,4,6,30,27,9,1,13,"28,858"
B153134,,11/12/15,"$28,000.00 ",FALSE,TRUE,1,700 Block of Tennessee Street,94107,10,Potrero Hill,"(37.762344115223, -122.389739252752)",55,2,9,26,29,3,8,10,"28,856"
B153135,,11/12/15,"$48,500.00 ",FALSE,FALSE,1,1000 Block of Pierce Street,94115,5,Western Addition,"(37.779381465353, -122.435357598678)",97,4,11,39,41,5,11,15,"29,490"
B153179,11/17/15,3/14/16,"$5,500.00 ",FALSE,FALSE,1,1500 Block of 33rd Avenue,94122,4,Sunset/Parkside,"(37.758234933092, -122.491870947353)",39,10,7,35,35,8,3,1,56
B153180,11/17/15,5/17/16,"$27,093.75 ",FALSE,FALSE,1,1000 Block of Natoma Street,94103,6,Mission,"(37.772605880234, -122.417015964837)",32,1,10,20,19,2,9,8,"28,853"
B153182,11/16/15,8/16/17,"$28,239.41 ",FALSE,FALSE,3,1600 Block of Geneva Avenue,94134,11,Excelsior,"(37.711581641564, -122.427965645232)",58,9,1,7,5,7,6,9,"28,861"
B153246,11/19/15,1/19/16,"$24,000.00 ",FALSE,FALSE,2,800 Block of Rutland Street,94134,10,Visitacion Valley,"(37.712002001621, -122.407607976137)",75,9,9,40,39,7,8,9,309
B153247,11/19/15,2/1/16,"$26,385.96 ",FALSE,TRUE,1,1000 Block of Montgomery Street,94133,3,North Beach,"(37.798706214269, -122.403889712323)",106,6,3,23,23,1,10,3,308
B153248,11/20/15,5/4/17,"$17,201.00 ",FALSE,FALSE,1,700 Block of 12th Avenue,94118,1,Inner Richmond,"(37.774139884733, -122.47029938029)",5,8,4,11,11,6,2,11,54
B153252,11/20/15,6/3/16,"$16,812.53 ",FALSE,FALSE,1,2700 Block of Clay Street,94115,2,Pacific Heights,"(37.790132681711, -122.438304505733)",102,4,6,30,27,6,1,13,"29,490"
B153253,11/20/15,6/3/16,"$40,419.02 ",FALSE,FALSE,4,2700 Block of Clay Street,94115,2,Pacific Heights,"(37.790132681711, -122.438304505733)",102,4,6,30,27,6,1,13,"29,490"
B153254,11/20/15,6/3/16,"$40,408.96 ",FALSE,FALSE,2,2700 Block of Clay Street,94115,2,Pacific Heights,"(37.790132681711, -122.438304505733)",102,4,6,30,27,6,1,13,"29,490"
B153255,11/20/15,11/18/16,"$23,578.52 ",FALSE,FALSE,2,2700 Block of Clay Street,94115,2,Pacific Heights,"(37.790132681711, -122.438304505733)",102,4,6,30,27,6,1,13,"29,490"
B153257,11/20/15,6/3/16,"$40,396.19 ",FALSE,FALSE,2,2700 Block of Clay Street,94115,2,Pacific Heights,"(37.790132681711, -122.438304505733)",102,4,6,30,27,6,1,13,"29,490"
B153260,11/20/15,8/11/16,"$15,000.00 ",FALSE,FALSE,2,800 Block of Waller Street,94117,5,Haight Ashbury,"(37.770224287914, -122.438170162492)",112,7,11,3,9,5,11,15,"29,492"
B153261,11/20/15,11/20/15,"$29,000.00 ",FALSE,TRUE,1,300 Block of Monticello Street,94132,11,Oceanview/Merced/Ingleside,"(37.720642355848, -122.470696369931)",64,10,1,24,24,8,6,9,64
B153302,11/25/15,9/29/16,"$17,500.00 ",FALSE,TRUE,2,1100 Block of California Street,94108,3,Nob Hill,"(37.791467552832, -122.413273080076)",16,6,3,21,21,1,10,5,"28,857"
B153303,11/24/15,11/15/17,"$2,850.00 ",FALSE,TRUE,2,0 Block of Carmelita Street,94117,8,Haight Ashbury,"(37.770239424459, -122.434252769224)",28,7,5,3,9,5,5,15,"29,492"
B153304,11/24/15,2/9/16,"$60,000.00 ",FALSE,TRUE,2,100 Block of Danvers Street,94114,8,Castro/Upper Market,"(37.75994781323, -122.443272600226)",115,3,5,5,3,4,5,2,"28,862"
B153307,11/30/15,12/30/15,"$34,500.00 ",FALSE,FALSE,1,100 Block of Guerrero Street,94103,8,Mission,"(37.768561559218, -122.424584086228)",37,3,5,20,19,4,5,8,"28,853"
B153314,11/25/15,3/2/16,"$30,000.00 ",FALSE,TRUE,3,0 Block of Neptune Street,94124,10,Bayview Hunters Point,"(37.730601911, -122.396948755676)",87,2,9,1,1,3,8,10,58
B153317,,11/30/15,"$55,000.00 ",FALSE,FALSE,2,2000 Block of Powell Street,94133,3,North Beach,"(37.803489775935, -122.411553189747)",106,6,3,23,23,1,10,3,308
B153321,12/1/15,11/13/17,"$80,985.54 ",FALSE,TRUE,1,1600 Block of Green Street,94123,2,Marina,"(37.797250022442, -122.426247618803)",102,4,6,13,17,9,1,13,57
B153322,12/1/15,2/23/18,"$20,000.00 ",FALSE,FALSE,2,1600 Block of Green Street,94123,2,Marina,"(37.797250022442, -122.426247618803)",102,4,6,13,17,9,1,13,57
B153324,12/1/15,1/27/16,"$5,000.00 ",FALSE,FALSE,2,900 Block of Hyde Street,94109,3,Nob Hill,"(37.789569005636, -122.417179187658)",50,6,3,21,21,1,10,13,"28,858"
B153379,12/3/15,1/28/16,"$23,283.42 ",FALSE,FALSE,2,0 Block of Corwin Street,94114,8,Twin Peaks,"(37.757162909691, -122.439613003885)",115,3,5,38,38,4,5,2,"28,862"
B153381,12/4/15,1/26/16,"$2,750.00 ",FALSE,FALSE,1,1800 Block of 27th Avenue,94122,4,Sunset/Parkside,"(37.752927442326, -122.485048842487)",39,10,7,35,35,8,3,1,56
B153382,,12/2/15,"$41,979.86 ",FALSE,TRUE,1,200 Block of Corbett Avenue,94114,8,Castro/Upper Market,"(37.761444422017, -122.443399994234)",115,7,5,5,3,5,5,15,"28,862"
B153383,12/3/15,1/19/16,"$12,500.00 ",FALSE,FALSE,2,300 Block of Tara Street,94112,11,Oceanview/Merced/Ingleside,"(37.718682315734, -122.450137244866)",81,10,1,24,24,8,6,9,"28,861"
B153384,12/8/15,7/20/16,"$150,000.00 ",FALSE,FALSE,2,100 Block of 7th Avenue,94118,1,Inner Richmond,"(37.785736790844, -122.465765419706)",4,8,4,11,11,6,2,11,54
B153385,12/8/15,3/22/16,"$32,000.00 ",FALSE,FALSE,1,1300 Block of 29th Avenue,94122,4,Sunset/Parkside,"(37.762156116731, -122.487842515076)",39,10,7,35,35,8,3,1,56
B153386,12/8/15,2/16/16,"$16,560.00 ",FALSE,FALSE,5,1200 Block of Brussels Street,94134,10,Visitacion Valley,"(37.716898541253, -122.401418865455)",91,9,9,40,39,7,8,10,309
B153387,12/8/15,12/8/15,"$16,560.00 ",FALSE,FALSE,5,1200 Block of Brussels Street,94134,10,Visitacion Valley,"(37.716898541253, -122.401418865455)",91,9,9,40,39,7,8,10,309
B153390,12/9/15,4/15/16,"$46,875.50 ",FALSE,TRUE,1,400 Block of 3rd Avenue,94118,1,Inner Richmond,"(37.780194496031, -122.461066150054)",5,8,4,11,11,6,2,11,54
B153392,12/10/15,2/29/16,"$75,000.00 ",FALSE,FALSE,6,900 Block of Dolores Street,94110,8,Mission,"(37.754237849401, -122.425238262135)",52,3,5,20,19,4,5,2,"28,859"
B153398,12/11/15,3/29/17,"$66,313.27 ",FALSE,FALSE,3,1600 Block of Vallejo Street,94123,2,Marina,"(37.796640416326, -122.424436547074)",102,4,6,13,17,9,1,13,"28,858"
B153399,12/11/15,11/29/16,"$45,000.00 ",FALSE,FALSE,1,1600 Block of Vallejo Street,94123,2,Marina,"(37.796640416326, -122.424436547074)",102,4,6,13,17,9,1,13,"28,858"
B153400,11/3/15,1/6/17,"$69,649.00 ",FALSE,FALSE,2,1800 Block of 19th Street,94107,10,Potrero Hill,"(37.760985083818, -122.400728071147)",54,2,9,26,29,3,8,10,"28,856"
B153401,11/3/15,12/13/16,"$35,000.00 ",FALSE,FALSE,1,1800 Block of 19th Street,94107,10,Potrero Hill,"(37.760985083818, -122.400728071147)",54,2,9,26,29,3,8,10,"28,856"
B153443,12/18/15,2/17/16,"$23,000.00 ",FALSE,FALSE,2,400 Block of Vallejo Street,94133,3,North Beach,"(37.799189519691, -122.404353886828)",18,6,3,23,23,1,10,3,308
B153475,12/21/15,12/21/15,"$10,000.00 ",FALSE,FALSE,2,0 Block of Gardenside Drive,94131,8,Twin Peaks,"(37.751778100849, -122.444988945928)",51,7,5,38,38,5,5,2,63
B153477,12/24/15,3/30/16,"$37,000.00 ",FALSE,FALSE,2,300 Block of Octavia Street,94102,5,Hayes Valley,"(37.775524715863, -122.424508535736)",22,4,11,9,10,9,11,7,"28,852"
B153480,12/28/15,12/28/15,"$15,000.00 ",FALSE,FALSE,3,800 Block of Alabama Street,94110,9,Mission,"(37.758280252542, -122.411571084248)",53,3,2,20,19,4,7,2,"28,859"
B153500,12/29/15,3/2/16,"$15,000.00 ",FALSE,FALSE,1,4600 Block of Balboa Street,94121,1,Outer Richmond,"(37.775256086183, -122.508562155835)",6,8,4,29,26,6,2,11,55
B153501,12/29/15,3/9/16,"$5,600.00 ",FALSE,FALSE,1,3700 Block of Fillmore Street,94123,2,Marina,"(37.805886308888, -122.437194851054)",17,4,6,13,17,9,1,13,57
B153504,12/31/15,3/15/16,"$7,301.00 ",FALSE,TRUE,1,0 Block of Newton Street,94112,11,Excelsior,"(37.713939813357, -122.438943296746)",58,9,1,7,5,7,6,9,"28,861"
B160029,1/4/16,5/25/16,"$60,000.00 ",FALSE,TRUE,1,700 Block of Banks Street,94110,9,Bernal Heights,"(37.734316546347, -122.41303713928)",83,9,2,2,2,7,7,10,"28,859"
B160069,1/6/16,3/3/16,"$30,000.00 ",FALSE,FALSE,2,1800 Block of California Street,94109,2,Western Addition,"(37.790001944775, -122.424784565648)",102,4,6,39,41,9,1,13,"28,858"
B160070,1/5/16,1/5/16,"$2,070.00 ",FALSE,FALSE,2,1700 Block of 48th Avenue,94122,4,Sunset/Parkside,"(37.753805879038, -122.507540670635)",39,10,7,35,35,8,3,1,56
B160072,,1/7/16,"$22,500.00 ",FALSE,TRUE,1,0 Block of Sumner Street,94103,6,South of Market,"(37.776252507032, -122.41055419198)",32,1,10,34,34,2,9,8,"28,853"
B160073,,1/7/16,"$100,000.00 ",FALSE,FALSE,2,2900 Block of Harrison Street,94110,9,Mission,"(37.750239238175, -122.41160055919)",53,3,2,20,19,4,7,2,"28,859"
B160074,1/8/16,1/22/16,"$9,000.00 ",FALSE,FALSE,3,1500 Block of Ortega Street,94122,4,Sunset/Parkside,"(37.752265830897, -122.480097058039)",39,10,7,35,35,8,3,1,56
B160086,,1/7/16,"$45,000.00 ",FALSE,TRUE,1,100 Block of Caselli Avenue,94114,8,Castro/Upper Market,"(37.759694412571, -122.441904385732)",115,3,5,5,3,4,5,2,"28,862"
B160088,1/11/16,4/15/16,"$53,636.00 ",FALSE,FALSE,3,200 Block of Mississippi Street,94107,10,Potrero Hill,"(37.763334001402, -122.394583028407)",54,2,9,26,29,3,8,14,"28,856"
B160089,1/11/16,4/29/16,"$26,000.00 ",FALSE,FALSE,2,1300 Block of Hampshire Street,94110,9,Mission,"(37.75050064337, -122.407131211718)",53,3,2,20,19,4,7,2,"28,859"
B160094,1/13/16,5/10/16,"$75,000.00 ",FALSE,FALSE,1,700 Block of Guerrero Street,94110,8,Mission,"(37.758756182709, -122.423643239035)",37,3,5,20,19,4,5,2,"28,859"
B160098,,1/13/16,"$23,000.00 ",FALSE,FALSE,1,200 Block of Steiner Street,94117,5,Haight Ashbury,"(37.771655221243, -122.432113601819)",26,4,11,3,9,9,11,15,"29,492"
B160152,1/15/16,4/15/16,"$25,000.00 ",FALSE,TRUE,1,1200 Block of Masonic Avenue,94117,5,Haight Ashbury,"(37.769728147293, -122.445320474935)",25,7,11,3,9,5,11,15,"29,492"
B160153,1/7/16,3/4/16,"$12,000.00 ",FALSE,FALSE,1,800 Block of Rutland Street,94134,10,Visitacion Valley,"(37.712002001621, -122.407607976137)",75,9,9,40,39,7,8,9,309
B160155,1/19/16,7/29/16,"$10,000.00 ",FALSE,FALSE,2,900 Block of Bay Street,94109,2,Russian Hill,"(37.804359824718, -122.422990234166)",107,6,6,32,32,1,1,5,"28,858"
B160157,1/19/16,5/26/16,"$12,000.00 ",FALSE,FALSE,1,1800 Block of California Street,94109,2,Western Addition,"(37.790001944775, -122.424784565648)",102,4,6,39,41,9,1,13,"28,858"
B160158,1/19/16,1/27/16,"$23,000.00 ",FALSE,FALSE,2,1600 Block of Beach Street,94123,2,Marina,"(37.804693684724, -122.436278802064)",17,4,6,13,17,9,1,13,57
B160160,1/20/16,3/8/16,"$10,000.00 ",FALSE,FALSE,2,1300 Block of 45th Avenue,94122,4,Sunset/Parkside,"(37.761405160294, -122.504853112286)",39,10,7,35,35,8,3,1,56
B160219,,1/22/16,"$38,200.00 ",FALSE,FALSE,2,500 Block of Miramar Avenue,94112,7,West of Twin Peaks,"(37.726653572966, -122.458078876636)",71,9,8,41,40,7,4,9,"28,861"
B160262,1/26/16,3/24/16,"$15,000.00 ",FALSE,FALSE,2,500 Block of Teresita Boulevard,94127,7,West of Twin Peaks,"(37.73800208319, -122.446449647622)",72,9,8,41,40,7,4,9,59
B160263,1/26/16,1/27/16,"$5,553.00 ",FALSE,FALSE,1,200 Block of Ellington Avenue,94112,11,Outer Mission,"(37.713825426633, -122.444559125417)",66,9,1,28,25,7,6,9,"28,861"
B160265,1/26/16,5/3/16,"$20,000.00 ",FALSE,FALSE,1,0 Block of Elizabeth Street,94110,8,Mission,"(37.752871637882, -122.42223253935)",52,3,5,20,19,4,5,2,"28,859"
B160268,1/27/16,3/31/16,,TRUE,FALSE,4,1200 Block of California Street,94109,3,Nob Hill,"(37.791365622991, -122.414939768109)",16,6,3,21,21,1,10,5,"28,858"
B160272,1/28/16,3/22/16,"$20,000.00 ",FALSE,FALSE,2,800 Block of Clayton Street,94117,5,Haight Ashbury,"(37.765614199736, -122.447660896406)",114,7,11,3,9,5,11,15,"29,492"
B160273,1/28/16,6/17/16,"$20,000.00 ",FALSE,TRUE,2,0 Block of Lyell Street,94112,8,Outer Mission,"(37.731311827767, -122.431604222343)",94,9,5,28,25,7,5,9,"28,861"
B160274,1/29/16,4/26/16,"$28,000.00 ",FALSE,TRUE,1,900 Block of Jackson Street,94133,3,Chinatown,"(37.795487657278, -122.410479356033)",16,6,3,6,4,1,10,3,"28,857"
B160275,1/29/16,5/19/16,"$75,000.00 ",FALSE,FALSE,2,0 Block of Douglass Street,94114,8,Castro/Upper Market,"(37.762861342064, -122.439481563282)",113,7,5,5,3,5,5,15,"28,862"
B160279,2/1/16,9/14/17,"$59,206.21 ",FALSE,FALSE,1,1700 Block of Mcallister Street,94115,5,Western Addition,"(37.777534240825, -122.440863682785)",97,7,11,39,41,5,11,15,"29,490"
B160280,1/29/16,10/18/16,"$71,200.00 ",FALSE,TRUE,1,700 Block of 20th Avenue,94121,1,Outer Richmond,"(37.773750976342, -122.478835238597)",8,8,4,29,26,6,2,11,55
B160283,2/2/16,6/1/16,"$17,500.00 ",FALSE,FALSE,2,200 Block of Rome Street,94112,11,Outer Mission,"(37.715283220772, -122.446945630245)",66,9,1,28,25,7,6,9,"28,861"
B160284,2/2/16,4/4/16,"$50,000.00 ",FALSE,FALSE,5,2900 Block of Harrison Street,94110,9,Mission,"(37.750239238175, -122.41160055919)",53,3,2,20,19,4,7,2,"28,859"
B160291,2/3/16,11/15/16,"$20,000.00 ",FALSE,FALSE,1,1300 Block of Hampshire Street,94110,9,Mission,"(37.750508934024, -122.406993253862)",53,3,2,20,19,4,7,10,"28,859"
B160293,1/26/16,6/6/16,"$28,500.00 ",FALSE,FALSE,1,1300 Block of Palou Avenue,94124,10,Bayview Hunters Point,"(37.731279456362, -122.386266955922)",86,2,9,1,1,3,8,10,58
B160651,2/18/16,4/1/16,"$17,750.00 ",FALSE,FALSE,1,1800 Block of Mcallister Street,94115,5,Lone Mountain/USF,"(37.777214631702, -122.442488679774)",97,7,11,18,16,5,11,15,"29,492"
B160652,2/18/16,5/16/16,"$34,000.00 ",FALSE,FALSE,2,700 Block of Clementina Street,94103,6,South of Market,"(37.774852987344, -122.411439178562)",32,1,10,34,34,2,9,8,"28,853"
B160655,2/19/16,5/16/16,"$70,000.00 ",FALSE,FALSE,4,1300 Block of Vermont Street,94110,10,Mission,"(37.75253626085, -122.403415461032)",54,3,9,20,19,4,8,10,"28,859"
B160658,2/19/16,4/22/16,"$28,000.00 ",FALSE,FALSE,4,300 Block of Cornwall Street,94118,1,Inner Richmond,"(37.784826514703, -122.462945569944)",5,8,4,11,11,6,2,11,54
B160710,2/22/16,4/27/16,"$26,000.00 ",FALSE,FALSE,2,2300 Block of Bush Street,94115,2,Pacific Heights,"(37.786651563305, -122.435915167425)",103,4,6,30,27,6,1,13,"29,490"
B160711,2/23/16,4/26/16,"$19,500.00 ",FALSE,FALSE,2,1000 Block of Dolores Street,94110,8,Mission,"(37.752643924449, -122.425087778239)",52,3,5,20,19,4,5,2,"28,859"
B160714,2/23/16,8/12/16,"$45,200.00 ",FALSE,FALSE,2,100 Block of Cortland Avenue,94110,9,Bernal Heights,"(37.740053810886, -122.420597203777)",61,9,2,2,2,7,7,2,"28,859"
B160715,2/23/16,9/6/16,"$74,959.92 ",FALSE,FALSE,2,0 Block of Cook Street,94118,2,Presidio Heights,"(37.782744236041, -122.452392135096)",11,8,6,31,31,6,1,15,54
B160780,2/24/16,2/24/16,"$150,000.00 ",FALSE,FALSE,2,1800 Block of Webster Street,94115,5,Pacific Heights,"(37.787919253575, -122.432024926646)",101,4,11,30,27,9,11,13,"29,490"
B160782,,4/26/16,"$30,000.00 ",FALSE,FALSE,1,0 Block of Salmon Street,94133,3,Nob Hill,"(37.796539745376, -122.412680954899)",107,6,3,21,21,1,10,3,308
B160783,2/24/16,12/1/16,"$52,333.16 ",FALSE,FALSE,2,0 Block of Church Street,94114,8,Hayes Valley,"(37.769898724804, -122.429248840505)",28,7,5,9,10,9,5,7,"29,492"
B160785,2/26/16,4/19/16,"$15,000.00 ",FALSE,FALSE,1,1800 Block of 25th Avenue,94122,4,Sunset/Parkside,"(37.753022034756, -122.482903541281)",39,10,7,35,35,8,3,1,56
B160819,2/23/16,5/12/16,"$60,000.00 ",FALSE,FALSE,1,100 Block of Bartlett Street,94110,9,Mission,"(37.754571870634, -122.419712713805)",53,3,2,20,19,4,7,2,"28,859"
B160820,2/23/16,3/20/17,"$86,250.00 ",FALSE,FALSE,1,100 Block of Bartlett Street,94110,9,Mission,"(37.754571870634, -122.419712713805)",53,3,2,20,19,4,7,2,"28,859"
B160835,3/2/16,7/1/16,"$41,000.00 ",FALSE,FALSE,1,2000 Block of Powell Street,94133,3,North Beach,"(37.803489775935, -122.411553189747)",106,6,3,23,23,1,10,3,308
B160837,3/2/16,7/12/16,"$50,838.00 ",FALSE,FALSE,1,2000 Block of 15th Street,94114,8,Castro/Upper Market,"(37.766151307986, -122.429377891544)",37,3,5,5,3,4,5,8,"28,862"
B160838,3/2/16,7/11/16,"$52,400.00 ",FALSE,FALSE,1,500 Block of Chestnut Street,94133,3,North Beach,"(37.803831051039, -122.412205194331)",106,6,3,23,23,1,10,3,308
B160840,3/3/16,8/29/16,"$160,000.00 ",FALSE,FALSE,1,2100 Block of Lawton Street,94122,4,Sunset/Parkside,"(37.75751080039, -122.485840449063)",39,10,7,35,35,8,3,1,56
B160841,3/3/16,5/5/16,"$12,780.00 ",FALSE,FALSE,2,1300 Block of 16th Avenue,94122,5,Inner Sunset,"(37.762769050829, -122.473917054963)",109,10,11,14,12,8,11,1,56
B160842,3/3/16,8/24/16,"$50,000.00 ",FALSE,TRUE,1,1800 Block of Lombard Street,94123,2,Marina,"(37.800248346549, -122.431914332619)",15,4,6,13,17,9,1,13,57
B160889,3/4/16,1/5/18,"$45,000.00 ",FALSE,FALSE,1,100 Block of Belvedere Street,94117,5,Haight Ashbury,"(37.767791696945, -122.4493322947)",29,7,11,3,9,5,11,15,"29,492"
B160892,3/7/16,4/25/16,"$8,000.00 ",FALSE,FALSE,1,800 Block of Rhode Island Street,94107,10,Potrero Hill,"(37.759043330687, -122.401949185845)",54,2,9,26,29,3,8,10,"28,856"
B160894,3/7/16,3/11/16,"$40,000.00 ",FALSE,FALSE,3,500 Block of 17th Avenue,94121,1,Outer Richmond,"(37.777626610618, -122.475887689431)",5,8,4,29,26,6,2,11,54
B160897,3/8/16,5/27/16,"$4,000.00 ",FALSE,FALSE,2,2100 Block of Laguna Street,94115,2,Pacific Heights,"(37.790890375616, -122.429249383955)",102,4,6,30,27,9,1,13,"29,490"
B160898,3/9/16,6/3/16,$500.00 ,FALSE,FALSE,1,800 Block of Wisconsin Street,94107,10,Potrero Hill,"(37.756574965552, -122.398800339454)",54,2,9,26,29,3,8,10,"28,856"
B160899,3/9/16,6/21/16,"$17,250.00 ",FALSE,FALSE,1,400 Block of Oak Street,94102,5,Hayes Valley,"(37.774439390692, -122.426706538499)",26,4,11,9,10,9,11,7,"28,852"
B160904,,3/8/16,$550.00 ,FALSE,TRUE,1,900 Block of Garfield Street,94132,11,Oceanview/Merced/Ingleside,"(37.719698140666, -122.471202639414)",64,10,1,24,24,8,6,9,64
B160990,3/8/16,1/26/17,"$25,000.00 ",FALSE,FALSE,1,2500 Block of Lake Street,94121,2,Outer Richmond,"(37.785618148342, -122.486751122831)",2,8,6,29,26,6,1,11,55
B161080,3/11/16,5/11/16,"$34,000.00 ",FALSE,FALSE,3,600 Block of 26th Avenue,94121,1,Outer Richmond,"(37.777188005027, -122.485530777259)",8,8,4,29,26,6,2,11,55
B161081,3/11/16,3/11/16,"$10,000.00 ",FALSE,FALSE,2,1200 Block of 21st Avenue,94122,4,Sunset/Parkside,"(37.764412253173, -122.479263390059)",39,10,7,35,35,8,3,1,56
B161084,3/14/16,3/14/16,"$8,000.00 ",FALSE,FALSE,1,1100 Block of Francisco Street,94109,2,Russian Hill,"(37.803254828758, -122.424086026841)",107,4,6,32,32,9,1,5,"28,858"
B161085,3/15/16,12/6/16,"$107,920.00 ",FALSE,FALSE,6,200 Block of Day Street,94131,8,Noe Valley,"(37.742885588718, -122.427705104183)",84,9,5,22,22,7,5,2,63
B161086,3/15/16,12/6/16,"$142,517.00 ",FALSE,FALSE,6,200 Block of Day Street,94131,8,Noe Valley,"(37.742885588718, -122.427705104183)",84,9,5,22,22,7,5,2,63
B161095,3/17/16,5/9/16,"$10,600.00 ",FALSE,FALSE,3,2400 Block of 26th Avenue,94116,4,Sunset/Parkside,"(37.741789368036, -122.483058319307)",40,10,7,35,35,8,3,1,"29,491"
B161097,3/17/16,5/24/16,"$20,000.00 ",FALSE,FALSE,2,600 Block of Broderick Street,94117,5,Hayes Valley,"(37.776187484482, -122.439682038399)",24,7,11,9,10,5,11,15,"29,492"
B161098,3/18/16,5/17/16,"$15,000.00 ",FALSE,FALSE,2,0 Block of Pearl Street,94103,8,Mission,"(37.770224901965, -122.423794594898)",27,1,5,20,19,2,5,8,"28,853"
B161105,3/21/16,10/3/16,"$61,300.00 ",FALSE,FALSE,3,1700 Block of 44th Avenue,94122,4,Sunset/Parkside,"(37.75398948545, -122.50339646988)",39,10,7,35,35,8,3,1,56
B161112,3/23/16,5/31/16,"$20,000.00 ",FALSE,FALSE,1,2200 Block of North Point Street,94123,2,Marina,"(37.802722213371, -122.444258698097)",17,4,6,13,17,9,1,13,57
B161113,3/23/16,5/31/16,"$20,000.00 ",FALSE,FALSE,1,2200 Block of North Point Street,94123,2,Marina,"(37.802722213371, -122.444258698097)",17,4,6,13,17,9,1,13,57
B161117,3/23/16,10/7/16,"$70,000.00 ",FALSE,FALSE,1,400 Block of Filbert Street,94133,3,North Beach,"(37.801650127809, -122.406745753983)",18,6,3,23,23,1,10,3,308
B161119,3/23/16,6/6/16,"$5,890.00 ",FALSE,FALSE,1,1700 Block of 35th Avenue,94122,4,Sunset/Parkside,"(37.75441476511, -122.493753724017)",39,10,7,35,35,8,3,1,56
B161121,3/24/16,3/24/16,"$175,000.00 ",FALSE,FALSE,2,1100 Block of Pacific Avenue,94133,3,Nob Hill,"(37.796080479312, -122.41383266925)",107,6,3,21,21,1,10,5,308
B161129,3/25/16,1/12/17,"$30,000.00 ",FALSE,FALSE,2,1700 Block of 20th Avenue,94122,4,Sunset/Parkside,"(37.755129715909, -122.477545283967)",39,10,7,35,35,8,3,1,56
B161131,3/25/16,6/7/16,"$31,466.00 ",FALSE,FALSE,2,0 Block of Jordan Avenue,94118,2,Presidio Heights,"(37.784949559824, -122.456819204649)",11,8,6,31,31,6,1,11,54
B161132,3/25/16,9/12/16,"$18,109.00 ",FALSE,FALSE,2,800 Block of Broderick Street,94115,5,Western Addition,"(37.778040437168, -122.440188459734)",97,7,11,39,41,5,11,15,"29,490"
B161193,3/31/16,5/4/16,"$10,000.00 ",FALSE,FALSE,1,1400 Block of 27th Avenue,94122,4,Sunset/Parkside,"(37.760385318678, -122.485571946609)",39,10,7,35,35,8,3,1,56
