Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv
B163285,,10/7/16,"$39,597.00 ",FALSE,FALSE,4,400 Block of 14th Avenue,94118,1,Outer Richmond,"(37.779664252579, -122.47284533062)",5,8,4,29,26,6,2,11,54
B163291,,10/12/16,"$22,000.00 ",FALSE,TRUE,1,2900 Block of Folsom Street,94110,9,Mission,"(37.750099105183, -122.413917171629)",53,3,2,20,19,4,7,2,"28,859"
B163295,10/13/16,2/8/17,"$35,000.00 ",FALSE,FALSE,1,600 Block of 32nd Avenue,94121,1,Outer Richmond,"(37.776888209878, -122.492096250155)",8,8,4,29,26,6,2,11,55
B163297,10/14/16,1/4/17,"$73,000.00 ",FALSE,TRUE,3,0 Block of Steiner Street,94117,8,Hayes Valley,"(37.769679684478, -122.431575371699)",28,7,5,9,10,9,5,15,"29,492"
B163299,10/17/16,2/8/17,"$65,000.00 ",FALSE,FALSE,1,2200 Block of Sutter Street,94115,2,Pacific Heights,"(37.785617808192, -122.437392724832)",103,4,6,30,27,6,1,13,"29,490"
B163371,,10/18/16,"$11,780.00 ",FALSE,TRUE,2,1300 Block of De Haro Street,94107,10,Potrero Hill,"(37.752368962242, -122.400289527868)",54,2,9,26,29,3,8,10,"28,856"
B163376,10/20/16,2/2/17,"$24,320.00 ",FALSE,FALSE,2,200 Block of Richland Avenue,94110,9,Bernal Heights,"(37.73590726137, -122.42165327531)",61,9,2,2,2,7,7,2,"28,859"
B163379,10/21/16,11/21/16,"$13,701.00 ",FALSE,FALSE,2,3800 Block of Irving Street,94122,4,Sunset/Parkside,"(37.762647929824, -122.499095220458)",39,10,7,35,35,8,3,1,56
B163380,10/21/16,1/9/17,"$12,000.00 ",FALSE,FALSE,2,100 Block of Burnside Avenue,94131,8,West of Twin Peaks,"(37.733500431369, -122.438752505543)",95,9,5,41,40,7,5,9,63
B163381,10/21/16,12/15/16,"$1,000.00 ",FALSE,FALSE,2,100 Block of Burnside Avenue,94131,8,West of Twin Peaks,"(37.733500431369, -122.438752505543)",95,9,5,41,40,7,5,9,63
B163382,10/21/16,1/9/17,"$77,000.00 ",FALSE,TRUE,1,200 Block of 19th Avenue,94121,1,Outer Richmond,"(37.78324433967, -122.478442077915)",5,8,4,29,26,6,2,11,55
B163384,10/24/16,12/27/16,"$11,780.00 ",FALSE,FALSE,2,100 Block of Eureka Street,94114,8,Castro/Upper Market,"(37.759888327869, -122.438257852775)",115,3,5,5,3,4,5,2,"28,862"
B163440,10/24/16,10/27/16,"$7,200.00 ",FALSE,FALSE,1,1100 Block of Pine Street,94109,3,Nob Hill,"(37.7903887575, -122.414938764111)",16,6,3,21,21,1,10,5,"28,858"
B163445,10/26/16,2/22/17,"$130,000.00 ",FALSE,FALSE,1,2800 Block of Folsom Street,94110,9,Mission,"(37.751708669403, -122.41393694174)",53,3,2,20,19,4,7,2,"28,859"
B163448,10/27/16,3/17/17,"$52,832.80 ",FALSE,FALSE,2,700 Block of Clipper Street,94114,8,Noe Valley,"(37.748696513963, -122.440449238871)",51,3,5,22,22,4,5,2,"28,862"
B163452,10/28/16,2/27/17,"$50,000.00 ",FALSE,FALSE,3,1700 Block of Cabrillo Street,94121,1,Outer Richmond,"(37.774809244859, -122.477368820667)",5,8,4,29,26,6,2,11,55
B163453,10/28/16,5/11/17,"$27,725.00 ",FALSE,FALSE,2,1700 Block of Cabrillo Street,94121,1,Outer Richmond,"(37.774809244859, -122.477368820667)",5,8,4,29,26,6,2,11,55
B163454,10/28/16,10/28/16,"$45,000.00 ",FALSE,TRUE,2,1100 Block of Church Street,94114,8,Noe Valley,"(37.752874933688, -122.427474292903)",52,3,5,22,22,4,5,2,"28,862"
