"business_id","score","date","type"
1002,"90","20180509","routine"
1003,"92","20180314","routine"
1003,"86","20170823","routine"
1003,"88","20160706","routine"
1005,"78","20170713","routine"
1005,"84","20160502","routine"
1005,"84","20180122","routine"
1008,"94","20160804","routine"
1008,"85","20180409","routine"
1008,"98","20151202","routine"
1008,"88","20170905","routine"
1018,"83","20170718","routine"
1018,"96","20160606","routine"
1018,"87","20180208","routine"
1021,"91","20160819","routine"
1021,"98","20151117","routine"
1021,"96","20180417","routine"
1021,"90","20170912","routine"
1026,"87","20160726","routine"
1031,"85","20180328","routine"
1031,"80","20160915","routine"
1036,"90","20160913","routine"
1036,"85","20180515","routine"
1042,"92","20160803","routine"
1042,"92","20171211","routine"
1043,"87","20171116","routine"
1047,"84","20160719","routine"
1065,"86","20180711","routine"
1065,"80","20150806","routine"
1065,"81","20170906","routine"
1075,"89","20180427","routine"
1075,"87","20170726","routine"
1075,"90","20160309","routine"
1075,"90","20160111","routine"
1081,"88","20171106","routine"
1081,"94","20180523","routine"
1081,"96","20160919","routine"
1081,"84","20160222","routine"
1085,"98","20151211","routine"
1085,"92","20161209","routine"
1085,"96","20171207","routine"
1090,"74","20170504","routine"
1090,"100","20160426","routine"
1103,"98","20161129","routine"
1103,"96","20170928","routine"
1103,"96","20151224","routine"
1111,"90","20170302","routine"
1111,"87","20160621","routine"
1111,"87","20180605","routine"
1116,"96","20160912","routine"
1116,"89","20170928","routine"
1116,"94","20180330","routine"
1122,"86","20161014","routine"
1122,"94","20160329","routine"
1122,"94","20171214","routine"
1124,"89","20160330","routine"
1124,"80","20171114","routine"
1125,"96","20170816","routine"
1125,"96","20160527","routine"
1127,"96","20171004","routine"
1127,"94","20160615","routine"
1135,"96","20171102","routine"
1139,"69","20171127","routine"
1139,"80","20160620","routine"
1144,"79","20160929","routine"
1144,"88","20170828","routine"
1144,"75","20151222","routine"
1144,"88","20180226","routine"
1144,"86","20160329","routine"
1146,"74","20160613","routine"
1146,"77","20180223","routine"
1147,"98","20170523","routine"
1147,"94","20180102","routine"
1147,"98","20160422","routine"
1147,"98","20161028","routine"
1151,"90","20160505","routine"
1151,"90","20170216","routine"
1154,"88","20160105","routine"
1154,"76","20160912","routine"
1154,"81","20180110","routine"
1156,"96","20180430","routine"
1156,"94","20170419","routine"
1156,"92","20160401","routine"
1159,"87","20150820","routine"
1159,"76","20180129","routine"
1159,"78","20170131","routine"
1188,"100","20161109","routine"
1191,"94","20151106","routine"
1191,"86","20180710","routine"
1191,"92","20170202","routine"
1193,"96","20180206","routine"
1193,"83","20160128","routine"
1194,"100","20171109","routine"
1194,"96","20161017","routine"
1199,"90","20160414","routine"
1199,"90","20180117","routine"
1203,"77","20170803","routine"
1203,"98","20161013","routine"
1203,"92","20150924","routine"
1204,"89","20180713","routine"
1204,"96","20170425","routine"
1204,"92","20160209","routine"
1207,"82","20180605","routine"
1207,"72","20170125","routine"
1219,"91","20161031","routine"
1231,"74","20180625","routine"
1231,"88","20160420","routine"
1231,"85","20161117","routine"
1231,"74","20171031","routine"
1232,"98","20160523","routine"
1232,"80","20170407","routine"
1232,"94","20171023","routine"
1241,"92","20161220","routine"
1241,"90","20171018","routine"
1241,"90","20160523","routine"
1243,"94","20160518","routine"
1243,"87","20171012","routine"
1243,"94","20180522","routine"
1243,"91","20150728","routine"
1249,"74","20180515","routine"
1249,"83","20160216","routine"
1249,"78","20160926","routine"
1249,"78","20171002","routine"
1259,"100","20180223","routine"
1261,"90","20151215","routine"
1261,"88","20171201","routine"
1261,"89","20151229","routine"
1262,"88","20150805","routine"
1262,"90","20171215","routine"
1263,"96","20150805","routine"
1263,"94","20171201","routine"
1265,"100","20170630","routine"
1265,"98","20160603","routine"
1269,"100","20160916","routine"
1269,"98","20171017","routine"
1274,"82","20150924","routine"
1274,"83","20170809","routine"
1280,"92","20180327","routine"
1289,"79","20150923","routine"
1289,"94","20161206","routine"
1289,"85","20170822","routine"
1294,"89","20171205","routine"
1294,"93","20160727","routine"
1294,"93","20170106","routine"
1296,"88","20160927","routine"
1296,"80","20160209","routine"
1296,"82","20180501","routine"
1296,"83","20170926","routine"
1300,"92","20180531","routine"
1300,"74","20171005","routine"
1300,"65","20160927","routine"
1300,"82","20150915","routine"
1304,"85","20180711","routine"
1304,"79","20180131","routine"
1318,"81","20160712","routine"
1318,"80","20170725","routine"
1318,"86","20180710","routine"
1318,"88","20160108","routine"
1322,"94","20171128","routine"
1322,"89","20160825","routine"
1323,"94","20171127","routine"
1323,"94","20170531","routine"
1332,"87","20171016","routine"
1332,"92","20180524","routine"
1332,"86","20160427","routine"
1337,"88","20160107","routine"
1337,"85","20171030","routine"
1337,"90","20180525","routine"
1337,"88","20161103","routine"
1337,"81","20160823","routine"
1339,"80","20170822","routine"
1339,"90","20161221","routine"
1339,"89","20180619","routine"
1339,"90","20160414","routine"
1341,"100","20170901","routine"
1341,"100","20160826","routine"
1344,"94","20170925","routine"
1344,"100","20160609","routine"
1345,"79","20160722","routine"
1345,"81","20170928","routine"
1345,"80","20180626","routine"
1347,"85","20151014","routine"
1347,"92","20171201","routine"
1350,"81","20180516","routine"
1350,"77","20160518","routine"
1350,"80","20170105","routine"
1350,"80","20170118","routine"
1351,"96","20160629","routine"
1351,"100","20180221","routine"
1352,"74","20180620","routine"
1352,"86","20170726","routine"
1352,"89","20151007","routine"
1352,"86","20161129","routine"
1354,"86","20180420","routine"
1354,"92","20160928","routine"
1358,"94","20180319","routine"
1358,"90","20171010","routine"
1359,"96","20180522","routine"
1359,"100","20161025","routine"
1362,"84","20160720","routine"
1362,"81","20180426","routine"
1362,"87","20170511","routine"
1362,"94","20151030","routine"
1366,"81","20180206","routine"
1366,"74","20170725","routine"
1366,"90","20160602","routine"
1368,"98","20170227","routine"
1368,"98","20180618","routine"
1368,"91","20160425","routine"
1381,"96","20180719","routine"
1381,"73","20160330","routine"
1381,"85","20161128","routine"
1381,"92","20170822","routine"
1389,"78","20161026","routine"
1389,"87","20171011","routine"
1396,"85","20171130","routine"
1396,"94","20160614","routine"
1398,"88","20180302","routine"
1398,"96","20160609","routine"
1399,"93","20180613","routine"
1399,"98","20160503","routine"
1399,"98","20161103","routine"
1399,"96","20171025","routine"
1413,"100","20180220","routine"
1413,"100","20160419","routine"
1426,"71","20171129","routine"
1426,"67","20160509","routine"
1426,"70","20161026","routine"
1427,"85","20160919","routine"
1434,"92","20180712","routine"
1434,"91","20160307","routine"
1434,"92","20171201","routine"
1434,"96","20161205","routine"
1442,"85","20160301","routine"
1442,"94","20180607","routine"
1442,"94","20170123","routine"
1444,"100","20161014","routine"
1444,"100","20170728","routine"
1444,"100","20180119","routine"
1444,"96","20160408","routine"
1444,"100","20180718","routine"
1452,"89","20171205","routine"
1452,"87","20170109","routine"
